Korean,Part of Speech,Example Sentence,English,Sentence Translation,Etymology
한국,Noun,# 한국의 빨리빨리 문화,Korea,# Korea's Pali-Pali (hurry-hurry) culture,韓 (Korean) + 國 (country)
빨리빨리,Adverb,# 한국의 빨리빨리 문화,hurry-hurry / quickly-quickly,# Korea's Pali-Pali (hurry-hurry) culture,Pure Korean
특별,Noun,한국에는 특별한 문화가 하나 있어요.,special,Korea has one special culture.,特 (special) + 別 (distinguish)
늘다,Verb,는 모든 일을 아주 빠르게 하는 것을 의미해요.,to increase / to grow,(It) means doing all things very quickly.,Pure Korean
효율,Noun,한국 사람들은 무엇이든 빠르고 효율적으로 하는 것을 좋아해요.,efficiency,Korean people like to do everything quickly and efficiently.,效 (effect) + 率 (rate)
자리를 잡다,Phrase,이 문화는 한국 사람들의 일상생활 속에 깊이 자리 잡고 있어요.,to take root / to establish itself,This culture has deeply taken root in the daily lives of Korean people.,Pure Korean
전쟁을 겪다,Phrase,한국은 과거에 큰 전쟁을 겪었어요.,to experience war / to go through war,Korea experienced a great war in the past.,戰 (battle) + 爭 (fight) + Pure Korean (겪다)
쉴 틈 없이,Phrase,이 시기에 한국 사람들은 쉴 틈 없이 빠르게 일했어요.,without a break / ceaselessly,"During this period, Korean people worked quickly without a break.",Pure Korean
크게 발전하다,Phrase,"그 결과, 한국은 짧은 시간 안에 경제가 크게 발전했어요.",to greatly develop / to make great progress,"As a result, Korea's economy greatly developed in a short period of time.",Pure Korean (크게) + 發 (develop) + 展 (spread) + Pure Korean (하다)
영향을 받다,Phrase,기술과 인터넷도 빨리빨리 문화의 영향을 많이 받았어요.,to be influenced / to be affected,Technology and the internet were also greatly influenced by the 'Pali-Pali' culture.,影 (shadow) + 響 (echo) + Pure Korean (받다)
참지 못하다,Phrase,사람들은 느린 인터넷을 참지 못해요.,to not be able to tolerate / to not be able to bear,People cannot tolerate slow internet.,Pure Korean
관심을 가지다,Phrase,'느리게 살기'에 관심을 가지는 사람들이 늘어나고 있어요.,to take interest / to have interest,The number of people taking interest in 'slow living' is increasing.,關 (concern) + 心 (mind) + Pure Korean (가지다)
스트레스를 받다,Phrase,모든 것을 빨리 해야 하기 때문에 사람들이 스트레스를 많이 받아요.,to be stressed / to feel stressed,People feel a lot of stress because they have to do everything quickly.,Loanword (스트레스 from English 'stress') + Pure Korean (받다)
마음의 여유,Phrase,항상 바쁘게 움직여야 해서 마음의 여유가 부족해요.,mental space / peace of mind,"They always have to move busily, so they lack mental space (or peace of mind).",Pure Korean (마음) + 餘 (remainder) + 裕 (ample)
조화를 이루다,Phrase,앞으로는 '빨리빨리'와 '천천히'가 조화를 이루는 사회가 되면 좋겠어요.,to create harmony / to achieve harmony,"In the future, I hope for a society where 'Pali-Pali' and 'slowly' achieve harmony.",調 (harmonize) + 和 (harmony) + Pure Korean (이루다)
