Korean,Part of Speech,Frequency,Example Sentence,English,Sentence Translation
서울,Noun,48,서울 구경해요 서울에서 즐거운 하루 안녕하세요! 서울에 오신 것을 환영합니다.,,
민수,Noun,14,제 친구 민수도 저에게 사진을 찍어 달라고 했어요.,,
구경,Noun,12,서울 구경해요 서울에서 즐거운 하루 안녕하세요! 서울에 오신 것을 환영합니다.,,
한국,Noun,9,한국 역사를 배울 때 꼭 나와요.,,
광장,Noun,6,먼저 광화문 광장에 갑니다.,,
경복궁,Noun,6,우리는 경복궁으로 갑니다.,,
남산,Noun,6,이제 남산으로 갑니다.,,
명동,Noun,5,저녁에는 명동에 갑니다.,,
광화문,Noun,4,먼저 광화문 광장에 갑니다.,,
인사동,Noun,4,우리는 인사동으로 갑니다.,,
한강,Noun,4,마지막으로 한강에 갔어요.,,
멋지다,Adjective,3,,,
전통,Noun,3,한국 전통 건축은 정말 멋있어요.,,
시내,Noun,3,남산은 서울 시내를 한눈에 볼 수 있는 곳이에요.,,
자물쇠,Noun,3,"사진을 많이 찍고, 우리는 사랑의 자물쇠가 있는 곳으로 갔어요.",,
디자인,Noun,3,다음 장소는 동대문 디자인 플라자 예요.,,
특별,Noun,3,DDP는 아주 특별한 건물이에요.,,
숙소,Noun,3,"밤이 깊어지고, 우리는 숙소로 돌아가기로 했어요.",,
환영,Noun,2,서울 구경해요 서울에서 즐거운 하루 안녕하세요! 서울에 오신 것을 환영합니다.,,
이순신,Noun,2,광화문 광장에는 이순신 장군 동상도 있어요.,,
장군,Noun,2,광화문 광장에는 이순신 장군 동상도 있어요.,,
동상,Noun,2,광화문 광장에는 이순신 장군 동상도 있어요.,,
궁궐,Noun,2,경복궁은 아주 아름다운 궁궐이에요.,,
옛날,Noun,2,궁궐은 옛날에 왕이 살던 집이에요.,,
마당,Noun,2,문을 지나면 넓은 마당이 나와요.,,
멋있다,Adjective,2,한국 전통 건축은 정말 멋있어요.,,
연못,Noun,2,저는 특히 연못을 좋아해요.,,
물고기,Noun,2,연못에는 물고기가 살고 있어요.,,
유자,Noun,2,저는 따뜻한 유자차를 마셨어요.,,
한눈,Noun,2,남산은 서울 시내를 한눈에 볼 수 있는 곳이에요.,,
케이블카,Noun,2,우리는 케이블카를 타고 남산에 올라갔어요.,,
도착,Noun,2,남산에 도착하면 서울 시내가 한눈에 보여요.,,
영원,Noun,2,우리의 사랑이 영원하기를 바라면서.,,
택시,Noun,2,"삼겹살을 다 먹고, 우리는 택시를 탔어요.",,
켜다,Verb,2,불빛이 많이 켜져요.,,
전시,Noun,2,DDP 안에는 여러 가지 전시를 해요.,,
그냥,Adverb,2,그냥 앉아서 이야기를 해요.,,
종일,Noun,2,민수는 오늘 하루 종일 서울을 구경해서 아주 피곤했어요.,,
안녕,Noun,1,서울 구경해요 서울에서 즐거운 하루 안녕하세요! 서울에 오신 것을 환영합니다.,,
햇빛,Noun,1,"햇빛이 따뜻하고, 바람도 시원해요.",,
바람,Noun,1,"햇빛이 따뜻하고, 바람도 시원해요.",,
유명,Noun,1,이순신 장군은 아주 유명한 분이에요.,,
잠시,Adverb,1,"동상 앞에서 잠시 이야기를 나누고,",,
나무,Noun,1,마당에는 예쁜 꽃과 나무가 많아요.,,
냄새,Noun,1,저는 꽃 냄새를 맡는 것을 좋아해요.,,
맡다,Verb,1,저는 꽃 냄새를 맡는 것을 좋아해요.,,
각각,Adverb,1,"각각 다른 방이 있고, 다른 이야기가 있어요.",,
상상,Noun,1,상상해 보세요.,,
천천히,Adverb,1,경복궁을 천천히 걸으면서 구경해요.,,
건축,Noun,1,한국 전통 건축은 정말 멋있어요.,,
지붕,Noun,1,지붕의 색깔이 예뻐요.,,
헤엄치다,Verb,1,물고기들이 헤엄치는 모습을 보면 마음이 편안해져요.,,
편안,Noun,1,물고기들이 헤엄치는 모습을 보면 마음이 편안해져요.,,
