Korean,English,Etymology,Part of Speech,Example Sentence,Sentence Translation
찾기 시작하다,to start looking for,찾다 (to look for) + -기 시작하다 (auxiliary verb meaning 'to begin doing'),Phrase,호랑이는 소리가 나는 집을 찾기 시작했어요.,The tiger began to look for the house where the sound was coming from.
울고 있다,to be crying (currently),울다 (to cry) + -고 있다 (auxiliary verb indicating continuous action),Phrase,아이는 여전히 큰 소리로 울고 있었어요.,The child was still crying loudly.
잡아가다,to catch and take away,잡다 (to catch) + -아/어 가다 (auxiliary verb indicating action continuing and moving away),Phrase,계속 울면 호랑이가 잡아갈 거야.,"If you keep crying, the tiger will come and take you away."
울음소리를 듣다,to hear a crying sound,울음소리 (crying sound) + -를 (object particle) + 듣다 (to hear),Phrase,아이의 울음소리를 들은 호랑이는 생각했어요.,"The tiger, who heard the child's crying sound, thought."
무서워하다,"to be scared of, to fear",무섭다 (to be scary) + -어하다 (auxiliary verb suffix indicating a subjective feeling or state of others),Phrase,도깨비를 안 무서워하네.,It's not even scared of goblins.
아이에게 말하다,to speak to the child,아이에게 (to the child) + 말하다 (to speak),Phrase,아이 엄마가 아이에게 말했어요.,The child's mother spoke to the child.
와있다,to have come and be present,오다 (to come) + -아/어 있다 (auxiliary verb indicating a state resulting from a completed action),Phrase,"얘야, 그만 울어. 밖에 무서운 호랑이가 와있어.","“Hey, stop it, there’s a scary tiger outside.”"
깜짝 놀라다,"to be startled, to be surprised",깜짝 (onomatopoeia/adverb for a sudden surprise) + 놀라다 (to be surprised),Phrase,호랑이는 깜짝 놀랐어요.,The tiger was startled.
울음을 그치다,to stop crying,"울음 (crying, noun) + -을 (object particle) + 그치다 (to stop)",Phrase,그런데도 아이는 여전히 울음을 그치지 않았어요.,"Yet, the child still did not stop crying."
있는 것을 알다,to know that (someone/something) is present,있다 (to be present) + -는 것 (nominalizer) + -을 (object particle) + 알다 (to know),Phrase,아니 내가 여기에 있는 걸 어떻게 알았지?,"“No, how did they know I was here?”"
도망가다,"to run away, to escape","도망 (escape, noun) + 가다 (to go)",Phrase,호랑이는 깜짝 놀라 외양간 안으로 도망갔어요.,"The tiger was startled and ran away inside, wondering why it couldn't see the thief. (Note: '왜 안 까나' is likely a transcription error for '외양간', meaning 'stable'.)"
살금살금 들어오다,"to sneak in, to tiptoe in",살금살금 (adverb for stealthily/lightly) + 들어오다 (to come in),Phrase,누군가 외양간으로 살금살금 들어오는 것을 봤어요.,He saw someone sneaking into the stable.
훔치러 오다,to come to steal,"훔치다 (to steal) + -(으)러 (in order to, for the purpose of) + 오다 (to come)",Phrase,들어온 사람은 소를 훔치러 온 소도둑이었어요.,The person who came in was a cow thief who came to steal a cow.
벌벌 떨다,to tremble (in fear/cold),벌벌 (adverb for trembling/shaking violently) + 떨다 (to tremble/shake),Phrase,호랑이는 그것도 모르고 무서워서 벌벌 떨었어요.,"The tiger, unaware of that, was so scared that it trembled."
벌떡 일어나다,to stand up suddenly,"벌떡 (adverb for standing/rising suddenly) + 일어나다 (to stand up, to get up)",Phrase,호랑이는 깜짝 놀라 벌떡 일어났어요.,The tiger was startled and stood up abruptly.
등에 오르다,to climb onto the back (of an animal/person),등에 (on the back) + 오르다 (to climb/ascend),Phrase,소도둑이 깜짝 놀라서 호랑이 등에 올라타 버렸어요.,The cow thief was startled and ended up climbing onto the tiger's back.
탄 줄 알다,to think that (someone) rode (something),타다 (to ride) + -(으)ㄴ 줄 (nominalizer indicating a mistaken belief or knowledge) + 알다 (to know),Phrase,탄 줄 알고 힘껏 뛰기 시작했어요.,"Thinking that '곶감' (the dried persimmon) had ridden on his back, he began to run with all his might."
나무에 매달리다,"to hang onto a tree, to cling to a tree",나무에 (on the tree) + 매달리다 (to hang/cling),Phrase,소도둑은 재빨리 뛰어서 나무에 매달렸어요.,The cow thief quickly jumped and clung to a tree.
알게 되다,"to come to know, to find out",알다 (to know) + -게 되다 (auxiliary verb meaning 'to come to be/happen'),Phrase,그제야 소도둑은 자신이 호랑이를 타고 있다는 것을 알게 됐어요.,Only then did the cow thief realize that he was riding a tiger.
잡아먹을 뻔하다,to almost get eaten,잡아먹다 (to catch and eat) + -(으)ㄹ 뻔하다 (auxiliary verb indicating narrowly avoiding or almost doing an action),Phrase,아이고 호랑이한테 잡아먹힐 뻔 했네.,"“Oh dear, I almost got eaten by a tiger.”"
호랑이,tiger,Pure Korean,Noun,"트랩 1
 호랑이와 곶감",Trap 1: The Tiger and the Dried Persimmon
마을,village,Pure Korean,Noun,배고픈 호랑이 한 마리가 먹을 것을 찾아 마을로 내려왔어요.,A hungry tiger came down to the village looking for something to eat.
내려오다,to come down,Pure Korean,Verb,배고픈 호랑이 한 마리가 먹을 것을 찾아 마을로 내려왔어요.,A hungry tiger came down to the village looking for something to eat.
어흥,grrr (tiger's roar),Pure Korean,Adverb,어흥 배고파,"Grrr, I'm hungry."
들리다,to be heard,Pure Korean,Verb,그때 아이 울음 소리가 들렸어요.,"Just then, the sound of a child crying was heard."
시작,start,"始 (시: begin, start) + 作 (작: make, do)",Noun,"으앙 으앙
 호랑이는 소리가 나는 집을 찾기 시작했어요.","Wah, wah. The tiger started looking for the house where the sound was coming from."
도착,arrival,"到 (도: arrive, reach) + 着 (착: attach, wear, arrive)",Noun,오호 저 집이구나 호랑이는 엄마와 아이가 있는 집에 도착했어요.,"Oh, that's the house! The tiger arrived at the house where the mother and child were."
조용히,quietly,Pure Korean,Adverb,그리고 조용히 문 앞까지 다가갔어요.,And it quietly approached the door.
다가가다,to approach,Pure Korean,Verb,그리고 조용히 문 앞까지 다가갔어요.,And it quietly approached the door.
여전히,still,Pure Korean,Adverb,"으앙 으앙
 아이는 여전히 큰 소리로 울고 있었어요.","Wah, wah. The child was still crying loudly."
그만,stop,Pure Korean,Adverb,얘야 그만으로 계속 울면 도깨비가 와서 잡아갈 거야.,"Child, if you keep crying like that, a goblin will come and take you away."
도깨비,goblin,Pure Korean,Noun,얘야 그만으로 계속 울면 도깨비가 와서 잡아갈 거야.,"Child, if you keep crying like that, a goblin will come and take you away."
잡아가다,to take away,Pure Korean,Verb,얘야 그만으로 계속 울면 도깨비가 와서 잡아갈 거야.,"Child, if you keep crying like that, a goblin will come and take you away."
울음,crying,Pure Korean,Noun,아이의 울음소리를 들은 호랑이는 생각했어요.,"The tiger, who heard the child's crying sound, thought to itself."
무서워하다,to be afraid of,Pure Korean,Verb,도깨비를 안 무서워하네,He's not afraid of goblins.
깜짝,with a start,Pure Korean,Adverb,호랑이는 깜짝 놀랐어요.,The tiger was startled.
놀라다,to be surprised,Pure Korean,Verb,호랑이는 깜짝 놀랐어요.,The tiger was startled.
그치다,to stop,Pure Korean,Verb,그런데도 아이는 여전히 울음을 그치지 않았어요.,"But even so, the child still didn't stop crying."
당황,dismay,"唐 (당: bewildered) + 惶 (황: fearful, bewildered)",Noun,호랑이는 당황했어요.,The tiger was dismayed.
감,persimmon,Pure Korean,Noun,"얘야 엄마가 곶감 줄게, 곶감!","Child, Mom will give you a dried persimmon, a dried persimmon!"
주다,to give,Pure Korean,Verb,"얘야 엄마가 곶감 줄게, 곶감!","Child, Mom will give you a dried persimmon, a dried persimmon!"
