Korean,English,Etymology,Part of Speech,Example Sentence,Sentence Translation,Part Of Speech
잡아먹다,to catch and eat (to devour),잡다 (to catch/grab) + 먹다 (to eat),Phrase,어흥! 떡 하나 주면 안 잡아먹지!,"Grrr! If you give me one rice cake, I won't eat you!",
살려 주다,to save (someone),"살리다 (to save/revive) + 주다 (to give, used as an auxiliary verb to indicate a benefit for someone)",Phrase,제발 살려 주세요!,Please save me!,
그 자리에서,"on the spot, right there",그 (that) + 자리 (place/seat) + -에서 (at/in),Phrase,하지만 호랑이는 그 자리에서 어머니를 잡아먹어 버렸어요.,"However, the tiger devoured the mother on the spot.",
잡아먹어 버리다,to completely devour/eat up (with a sense of completion or finality),"잡아먹다 (to catch and eat) + -아/어 버리다 (auxiliary verb indicating completion, often with a nuance of regret or finality)",Phrase,하지만 호랑이는 그 자리에서 어머니를 잡아먹어 버렸어요.,"However, the tiger devoured the mother on the spot.",
생각나다,"to come to mind, to recall",생각 (thought) + 나다 (to come out/occur),Phrase,어머니를 잡아먹은 호랑이는 집에 아이들이 있다는 어머니의 말이 생각났어요.,"The tiger, who had devoured the mother, remembered the mother's words that there were children at home.",
오시기만 기다리다,to wait only for (someone honorific) to come,오다 (to come) + -시- (honorific suffix) + -기만 하다 (to only do something) + 기다리다 (to wait),Phrase,남매는 집에서 어머니가 오시기만을 기다리고 있었어요.,The siblings were waiting at home only for their mother to come.,
문을 두드리다,to knock on the door,문 (door) + -을 (object particle) + 두드리다 (to knock),Phrase,그때 누군가 문을 두드렸어요.,"Just then, someone knocked on the door.",
열어 보다,to try opening (to open and see),열다 (to open) + -아/어 보다 (auxiliary verb meaning 'to try doing' or 'to do and see'),Phrase,문 좀 열어 보렴.,Please try to open the door.,
목소리가 쉬다,for one's voice to be hoarse/to get a hoarse voice,"목소리 (voice) + -가 (subject particle) + 쉬다 (to rest, here idiomatically 'to become hoarse')",Phrase,일을 너무 많이 해서 목소리가 쉰 거야.,My voice is hoarse because I worked too much.,
손을 내밀다,to hold out one's hand,손 (hand) + -을 (object particle) + 내밀다 (to hold out/stretch out),Phrase,그럼 손을 한번 내밀어 보세요.,Then please hold out your hand once.,
깜짝 놀라다,to be startled/surprised (with a sudden shock),깜짝 (onomatopoeic adverb for sudden surprise) + 놀라다 (to be surprised),,깜짝 놀란 오빠는 문틈으로 밖을 엿보았어요.,The startled older brother peeked outside through the crack in the door.,Phrase
열려 있다,to be open (in an open state),"열리다 (to be opened, passive form of 열다) + 있다 (auxiliary verb indicating a state or condition)",Phrase,뒤늦게 방에 들어온 호랑이는 뒷문이 열려 있는 걸 발견했어요.,"The tiger, who entered the room belatedly, discovered that the back door was open.",
찾기 시작하다,to start searching,찾다 (to search/find) + -기 시작하다 (grammatical pattern meaning 'to start doing'),,호랑이는 남매를 찾기 시작했어요.,The tiger started looking for the siblings.,Phrase
있는 줄 알다,to think/know that (something) exists/is present,있다 (to exist/be) + -는 줄 알다 (grammatical pattern meaning 'to know/think that a fact or situation is such'),,호랑이는 우물 안에 남매가 있는 줄 알고 우물에 들어가려고 했어요.,"The tiger, thinking that the siblings were in the well, tried to go into the well.",Phrase
알게 되다,to come to know/realize,알다 (to know) + -게 되다 (auxiliary verb indicating a change of state or a situation coming to be),,호랑이는 남매가 우물 안에 있는 게 아니라는 걸 알게 되었어요.,The tiger came to realize that the siblings were not in the well.,Phrase
잡힐 것 같다,"to seem like one will be caught, to likely be caught","잡히다 (to be caught, passive) + -(으)ㄹ 것 같다 (grammatical pattern meaning 'to seem like' or 'to be likely to')",,"오빠, 곧 잡힐 것 같아.","Brother, it seems like we'll be caught soon.",Phrase
눈을 감다,to close one's eyes,눈 (eye) + -을 (object particle) + 감다 (to close),,오빠는 눈을 꼭 감고 기도하기 시작했어요.,The older brother closed his eyes tightly and began to pray.,Phrase
동아줄에 매달리다,to cling to a rope,동아줄 (rope) + -에 (to/on) + 매달리다 (to hang/cling),,남매는 얼른 동아줄에 매달렸어요.,The siblings quickly clung to the rope.,Phrase
신이 나다,"to get excited, to be in high spirits",신 (spirit/excitement) + -이 (subject particle) + 나다 (to come out/arise),,호랑이는 남매를 잡을 수 있다는 생각에 신이 났어요.,The tiger got excited at the thought that he could catch the siblings.,Phrase
뚝 끊어지다,to snap/break suddenly,뚝 (onomatopoeic/mimetic adverb for a sudden break or snap) + 끊어지다 (to be cut/broken),,호랑이가 매달려 있던 동아줄이 뚝 끊어졌어요.,The rope the tiger was clinging to suddenly snapped.,Phrase
남매,siblings (brother and sister),男 (남: male) + 妹 (매: younger sister),Noun,해와 달이 된 남매,The brother and sister who became the sun and moon.,
옛날,"long ago, olden days",Pure Korean,Noun,옛날 어느 산골 마을에 어머니와 어린 남매가 살고 있었어요.,"Long ago, in a certain mountain village, a mother and her young son and daughter lived.",
산골,"mountain village, secluded mountain area","山 (산: mountain) + 골 (Pure Korean: valley, gorge)",Noun,옛날 어느 산골 마을에 어머니와 어린 남매가 살고 있었어요.,"Long ago, in a certain mountain village, a mother and her young son and daughter lived.",
마을,village,Pure Korean,Noun,옛날 어느 산골 마을에 어머니와 어린 남매가 살고 있었어요.,"Long ago, in a certain mountain village, a mother and her young son and daughter lived.",
떡,rice cake,Pure Korean,Noun,남매의 어머니는 떡을 파는 일을 했어요.,The siblings' mother sold rice cakes.,
파다,to sell,"Pure Korean (Note: The word in the sentence, '파는', is the adnominal form of '팔다', meaning 'to sell'. The input '파다' typically means 'to dig', but the context clearly indicates 'to sell'.)",Verb,남매의 어머니는 떡을 파는 일을 했어요.,The siblings' mother sold rice cakes.,
밤늦다,to be late at night,Pure Korean,Adjective,어느 날 어머니가 옆 마을에 떡을 팔러 갔다가 밤늦게 집으로 돌아오고 있었어요.,"One day, the mother went to the next village to sell rice cakes and was returning home late at night.",
돌아오다,"to return, to come back",Pure Korean,Verb,어느 날 어머니가 옆 마을에 떡을 팔러 갔다가 밤늦게 집으로 돌아오고 있었어요.,"One day, the mother went to the next village to sell rice cakes and was returning home late at night.",
호랑이,tiger,Pure Korean,Noun,커다랗고 무서운 호랑이 한 마리가 어머니 앞에 나타났어요.,A huge and scary tiger appeared in front of the mother.,
어흥,roar (sound),,Adverb,“어흥!,“Roar!,
