Korean,English,Etymology,Part of Speech,Example Sentence,Sentence Translation
"골탕 먹이다","to give someone a hard time / to play a trick","골탕 (beef bone soup / figurative suffering) + 먹이다 (to feed)","Idiom","물건을 비싸게 파는 한양 상인들을 골탕 먹이고 싶었어요.","He wanted to teach these merchants, who were selling things so expensively, a lesson."
"어이가 없다","to be dumbfounded / to be beyond belief","어이 (handle of a millstone) + 가 (subject marker) + 없다 (to not exist)","Idiom","상인의 말에 사람들은 어이가 없다는 표정으로 말했어요.","At the merchant's words, the people spoke with a dumbfounded expression."
"-(이)어서","because / so (causal suffix)","이다 (to be) + 어서 (because)","Suffix","그 선달의 성이 김씨여서 사람들은 그를 '김선달'이라고 불렀어요.","Because his surname was Kim, people called him 'Kim Seon-dal'."
"-나","as much as / as many as (emphasis)","나 (emphasizing particle)","Particle","상인들은 한양에서보다 두 배나 비싼 가격에 물건을 팔았어요.","The merchants were selling goods for twice the price they cost in Hanyang."
"-잖아요","as you know / don't you know?","지 않다 (negative form) + 아요 (polite ending)","Suffix","한양에서는 동전 세 개면 살 수 있는 거잖아요!","You can buy this for three coins in Hanyang, as you know!"
"-냐고","asking if/why (indirect question)","냐 (question ending) + 고 (quotation marker)","Suffix","혹시 누가 돈을 왜 내는 거냐고 물으면 대동강 주인이 저라고 말하세요.","If anyone asks why you are paying, just tell them that I am the owner of the Daedong River."
"대로","as / in accordance with","대로 (post-positional particle)","Particle","사람들은 김선달과 약속한 대로 동전을 냈어요.","As agreed with Kim Seon-dal, the people handed him a coin."
"-씩","each / at a time","씩 (distributive particle)","Particle","사람들은 물을 풀 때마다 동전을 한 개씩 냈어요.","Every time they scooped water, the people handed him one coin each."
"-아/어 가다","to do an action and take it away / continue","Action verb + 아/어 (connective) + 가다 (to go)","Grammar Construct","상인들은 사람들이 물을 사 가는 모습을 보았어요.","The merchants saw the people buying and taking the water away."
"-던데","I recall that... / I heard that... (background)","더 (retrospective marker) + ㄴ데 (background particle)","Suffix","대동강은 일 년 내내 마르지도 않는다고 하던데.","They say the Daedong River never dries up all year round (and I'm reflecting on that)."
"-(으)ㄹ 겁니다","will probably be / will do","-(으)ㄹ (future modifier) + 것 (thing/fact) + 이다 (to be)","Grammar Construct","우리가 가지고 있는 돈을 합치면 될 겁니다.","It will work if we combine the money we have."
"-(이)란 말이다","I'm saying it is... / it means...","-(이)라는 (that is called) + 말 (word/saying) + 이다 (to be)","Grammar Construct","돌아가신 부모님께 물려받은 강이란 말이오!","I’m saying this is a river I inherited from my late parents!"
"-는 척하다","to pretend to","Action verb + 는 (modifier) + 척 (pretending) + 하다 (to do)","Grammar Construct","김선달은 고민하는 척하며 말했어요.","Kim Seon-dal spoke while pretending to be deeply troubled."
"-(으)ㄴ/는 편이다","to be on the (adjective) side / relatively","Modifier + 편 (side) + 이다 (to be)","Grammar Construct","이 정도면 싼 편이오. 싫으면 마시오.","At this level, it's on the cheap side. If you don't like it, forget it."
"-(으)ㄹ까 봐","for fear that / worried that","-(으)ㄹ까 (wondering if) + 보다 (to see/consider)","Grammar Construct","다른 사람에게 대동강을 팔까 봐 마음이 급해졌어요.","Their hearts became hurried for fear that he might sell the Daedong River to someone else."
"것뿐이다","is nothing but / is only","것 (act/thing) + 뿐 (only) + 이다 (to be)","Grammar Construct","우리는 받은 돈을 다시 돌려준 것뿐입니다.","We are only returning the money we received."
"-고","and (listing actions or states)","고 (connective particle)","Suffix","이미 김선달은 도망치고 없었어요.","Kim Seon-dal had already fled and was gone."
"-아/어 (수단)","by doing / method connector","아/어 (connective particle for cause/method)","Suffix","김선달은 대동강을 팔아 큰돈을 벌었어요.","Kim Seon-dal made a lot of money by selling the Daedong River."
"상관없다","it doesn't matter / to not care","상관 (relation/concern) + 없다 (to not exist)","Adjective","가지고 있는 돈을 다 써도 상관없다고 생각했어요.","They thought it wouldn't matter even if they spent all the money they had."
