Korean,Part of Speech,Example Sentence,English,Sentence Translation,Etymology
손톱,Noun,손톱 먹은 쥐,fingernail,A mouse that ate fingernails.,Pure Korean
쥐,Noun,손톱 먹은 쥐,mouse,A mouse that ate fingernails.,Pure Korean
옛날,Noun,옛날 어느 마을에 한 부부가 살았어요.,olden days,"A long time ago, a couple lived in a village.",Pure Korean
마을,Noun,옛날 어느 마을에 한 부부가 살았어요.,village,"A long time ago, a couple lived in a village.",Pure Korean
부부,Noun,옛날 어느 마을에 한 부부가 살았어요.,couple,"A long time ago, a couple lived in a village.","夫婦 (부부) -> 夫 (부: husband, man) + 婦 (부: wife, woman)"
그런데,Adverb,그런데 아들은 부모님 말을 잘 듣지 않고 공부도 열심히 하지 않았어요.,"but, however",But the son didn't listen to his parents well and didn't study hard either.,Pure Korean
종일,Noun,하루 종일 놀기만 하네요.,all day long,He just plays all day long.,"終日 (종일) -> 終 (종: end, whole) + 日 (일: day)"
절,Noun,"""절로 보내는 게 어때요?",Buddhist temple,"""How about sending him to a temple?""",Pure Korean
보내다,Verb,"""절로 보내는 게 어때요?",to send,"""How about sending him to a temple?""",Pure Korean
스님,Noun,"스님에게 이 아이를 엄격하게 가르쳐달라고 부탁드려요.""",Buddhist monk,"""Please ask the monk to strictly teach this child.""",Pure Korean
아이,Noun,"스님에게 이 아이를 엄격하게 가르쳐달라고 부탁드려요.""",child,"""Please ask the monk to strictly teach this child.""",Pure Korean
부탁,Noun,"스님에게 이 아이를 엄격하게 가르쳐달라고 부탁드려요.""","request, favor","""Please ask the monk to strictly teach this child.""","付託 (부탁) -> 付 (부: give, entrust) + 託 (탁: entrust, commit)"
드리다,Verb,"스님에게 이 아이를 엄격하게 가르쳐달라고 부탁드려요.""","to give (honorific), to offer (honorific)","""Please ask the monk to strictly teach this child.""",Pure Korean
부르다,Verb,부부는 아들을 불러서 말했어요.,to call,The couple called their son and spoke.,Pure Korean
지내다,Verb,"3년만 절에서 지내도록 해라.""","to stay, to spend (time)","""Make him stay at the temple for just three years.""",Pure Korean
싫다,Adjective,싫어요!,"to dislike, to be undesirable","""I don't like it!""",Pure Korean
그럼,Adverb,"""그럼 이렇게 계속 집에서 놀고먹기만 할 거야?","then, in that case","""Then are you just going to keep playing and eating at home like this?""",Pure Korean
당장,Noun,"당장 가서 준비해!""","right away, immediately","""Go and get ready right away!""","當場 (당장) -> 當 (당: just, exactly, at that moment) + 場 (장: place, occasion)"
준비,Noun,"당장 가서 준비해!""",preparation,"""Go and get ready right away!""","準備 (준비) -> 準 (준: prepare, standard) + 備 (비: prepare, equip)"
억지로,Adverb,부부는 마음이 아팠지만 아들을 억지로 절로 보냈어요.,"forcibly, against one's will","The couple's hearts ached, but they forcibly sent their son to the temple.",Pure Korean
도착,Noun,절에 도착한 아들은 허름한 절을 보고 말했어요.,arrival,"The son, who arrived at the temple, saw the shabby temple and spoke.","到着 (도착) -> 到 (도: arrive) + 着 (착: arrive, attach)"
한숨,Noun,한숨을 쉬고 있는 아들에게 한 스님이 다가왔어요.,sigh,A monk approached the son who was sighing.,Pure Korean
