Korean,Part of Speech,Example Sentence,English,Sentence Translation,Etymology
말을 (잘) 듣다,Phrase,아이들이 부모님 말을 잘 들어요.,to listen/obey,"The children listen to their parents well.","말 (speech) + 듣다 (to hear/listen)"
놀고먹다,Phrase,일하지 않고 집에서 놀고먹기만 하면 안 됩니다.,to live in idleness,"You shouldn't just live in idleness at home without working.","놀다 (to play) + 먹다 (to eat)"
한숨을 쉬다,Phrase,그는 걱정이 많아서 한숨을 쉬었어요.,to sigh,"He sighed because he had many worries.","한숨 (big breath/sigh) + 쉬다 (to breathe/rest)"
큰일(이) 나다,Phrase,손톱을 함부로 버리면 큰일이 날 수 있어요.,to be in big trouble / a disaster occurs,"If you throw away fingernails carelessly, you could be in big trouble.","큰 (big) + 일 (matter/event) + 나다 (to happen)"
매를 맞다,Phrase,거짓말을 한 소년은 결국 매를 맞았어요.,to be beaten/punished,"The boy who lied was eventually punished.","매 (rod/cane) + 맞다 (to be hit)"
번갈아 쳐다보다,Phrase,부부는 두 아들을 번갈아 쳐다보았습니다.,to look back and forth,"The couple looked back and forth between the two sons.","번갈아 (alternately) + 쳐다보다 (to look at)"
~기로 하다,Grammar Point,내일부터 일찍 일어나기로 했어요.,to decide to,"I decided to wake up early starting tomorrow.","기 (nominalizer) + 로 (direction/choice) + 하다 (to do)"
~도록 하다,Grammar Point,매일 한국어를 공부하도록 하세요.,to make sure to / to ensure,"Make sure to study Korean every day.","도록 (degree/limit marker) + 하다 (to do)"
~고 나서,Grammar Point,숙제를 하고 나서 친구를 만나요.,after doing,"I meet my friend after doing my homework.","고 (and) + 나다 (to finish/exit) + 서 (connector)"
~으면 안 되다,Grammar Point,이곳에서 담배를 피우면 안 됩니다.,must not / it is not okay if,"You must not smoke here.","으면 (if) + 안 (not) + 되다 (to be okay/possible)"
~을 때마다,Grammar Point,그 쥐는 저녁이 될 때마다 나타났어요.,every time / whenever,"That rat appeared every time it became evening.","을 때 (when) + 마다 (every)"
~곤 하다,Grammar Point,주말에는 자주 산에 가곤 해요.,to habitually do / used to do,"I often go to the mountains on weekends.","고 (and) + 는 (topic marker) + 하다 (to do)"
~ㄴ지,Grammar Point,부모님의 생신이 언제인지 물어봤어요.,indirect question marker,"He asked when his parents' birthdays were.","ㄴ (modifier) + 지 (uncertainty/duration marker)"
~기 위해(서),Grammar Point,진짜 아들을 찾기 위해 고양이를 데려갔어요.,in order to,"He took a cat in order to find the real son.","기 (nominalizer) + 위(爲 - for/sake) + 해 (to do)"
~더니,Grammar Point,비가 오더니 갑자기 날씨가 추워졌어요.,observed cause/sequence,"It rained, and then the weather suddenly got cold.","더 (recall) + 니 (connector)"
~아/어 주다,Grammar Point,스님이 좋은 방법을 알려줬어요.,to do for someone's benefit,"The monk told (him) a good method.","아/어 (connector) + 주다 (to give)"
~기 시작하다,Grammar Point,두 아이가 길에서 싸우기 시작했어요.,to start doing,"The two children started fighting on the street.","기 (nominalizer) + 시작 (始作 - start) + 하다 (to do)"
~자마자,Grammar Point,집에 도착하자마자 잠이 들었어요.,as soon as,"I fell asleep as soon as I arrived home.","자 (as) + 마자 (right after)"
