Korean	Part of Speech	Example Sentence	English	Sentence Translation	Etymology
아버지를 아버지라고 부르다	Phrase	길동은 아버지를 아버지라고 부르지 못해 슬퍼했다.	to call one's father 'father'	Gildong was sad because he could not call his father 'father'.	아버지 (father) + ~라고 (as) + 부르다 (to call)
갑갑하다	Grammar/Adjective	좁은 방에 오래 있으니 마음이 갑갑해요.	to feel frustrated/suffocated	Being in a small room for a long time makes me feel suffocated.	Pure Korean adjective describing emotional or physical stuffiness
~지 않을 수 있겠습니까?	Grammar Suffix	이 상황에서 화가 나지 않을 수 있겠습니까?	How can one not...? (Rhetorical)	How can one not get angry in this situation?	~지 않다 (not) + ~을 수 있다 (can) + ~겠습니까 (rhetorical formal question)
마음이 아프다	Phrase	아픈 유기견들을 보면 마음이 너무 아파요.	to be heartbroken/heartsick	When I see sick abandoned dogs, my heart aches deeply.	마음 (heart/mind) + 이 (subject marker) + 아프다 (to be sick/painful)
~ㄹ까 봐	Grammar Suffix	시험에 떨어질까 봐 밤새 공부했어요.	for fear that / worried that	I studied all night for fear that I might fail the exam.	~ㄹ까 (shall we/wondering if) + 봐 (from 보다, to see/experience)
어쩔 수 없다	Phrase	비가 너무 많이 와서 약속을 취소하는 것은 어쩔 수 없었어요.	it cannot be helped / no choice	It couldn't be helped that we canceled the appointment because it rained too much.	어찌할 (what to do) + 수 (way/method) + 없다 (to not exist)
잘 알지 않느냐	Grammar/Expression	내가 너를 얼마나 아끼는지 네가 잘 알지 않느냐.	Don't you know well?	Don't you know well how much I cherish you?	잘 (well) + 알다 (to know) + ~지 않다 (negation) + ~느냐 (rhetorical question)
살아가다	Grammar/Verb	우리는 서로 도우며 살아가야 합니다.	to live on / to get along in life	We must live on while helping each other.	살다 (to live) + 아/어 가다 (to continue doing into the future)
괜한 소리	Phrase	괜한 소리 하지 말고 공부나 열심히 해라.	useless talk / pointless complaining	Do not say useless things and just study hard.	괜하다 (to be unnecessary/pointless) + 소리 (sound/talk)
~고는 있다	Grammar Suffix	머리로는 알고는 있지만 마음대로 잘 안 돼요.	to be doing indeed (emphasis)	I do indeed know it with my head, but it doesn't work out the way I want.	~고 있다 (progressive) + 는 (topic/emphasis marker embedded)
속상하다	Grammar/Adjective	노력한 만큼 결과가 안 나와서 너무 속상해요.	to be upset / distressed / hurt	I am so upset because the results didn't turn out as much as I worked.	속 (inside/stomach) + 상하다 (to go bad/be damaged)
안 좋은 느낌이 들다	Phrase	어두운 골목길을 걸을 때 안 좋은 느낌이 들었어요.	to get a bad feeling / ominous hunch	I got a bad feeling when walking down the dark alleyway.	안 좋은 (not good) + 느낌 (feeling) + 이 (subject marker) + 들다 (to enter)
재빨리	Adverb	소방관들이 화재 현장에 도착해서 재빨리 불을 껐어요.	quickly / swiftly / nimbly	The firefighters arrived at the fire scene and quickly put out the fire.	재빠르다 (to be quick/nimble) + ~이 (adverbializer)
빼앗다	Grammar/Verb	욕심 많은 형이 동생의 장난감을 빼앗았어요.	to snatch / take away by force	The greedy older brother snatched his younger brother's toy away.	Pure Korean verb
~했던 거예요	Grammar Suffix	그때 제가 말했던 것은 다 거짓말이었던 거예요.	It was because... / The fact is...	The fact is, everything I said at that time was a lie.	~했~ (past) + 던 (retrospective modifier) + 것 (thing) + 이다 (to be)
