Korean,English,Etymology,Part of Speech,Example Sentence,Sentence Translation
사랑에 빠지다,to fall in love,사랑 (love) + 에 (~into) + 빠지다 (to fall/drop),Phrase,처음에 그를 봤을 때 나는 첫눈에 사랑에 빠졌다.,"When I first saw him, I fell in love at first sight."
용기를 내다,to muster/take courage,용기 (courage) + 를 (object marker) + 내다 (to put out/take out),Phrase,나는 용기를 내고 그의 수업이 있는 교실에서 기다렸다.,I mustered up my courage and waited in the classroom where his class was.
말을 걸다,to initiate a conversation / to speak to someone first,"말 (speech/words) + 을 (object marker) + 걸다 (to hang/call, here implying initiating a connection)",Phrase,처음에 네가 나에게 말을 걸었을 때 얼마나 기뻤는지 몰라.,I don't know how happy I was when you first spoke to me.
마음에 들다,to like / to be pleased with (someone/something),마음 (mind/heart) + 에 (~in) + 들다 (to enter/be taken into),Phrase,물론 나는 네가 마음에 들기 때문에 꼭 말을 하고 싶었어.,"Of course, because I liked you, I really wanted to talk to you."
믿을 수 없다,cannot believe,믿다 (to believe) + -을/ㄹ 수 없다 (cannot do something),Phrase,나는 믿을 수가 없었다.,I couldn't believe it.
하늘을 날 것 같다,to feel like flying in the sky (to be ecstatic/overjoyed),하늘 (sky) + 을 (object marker) + 날다 (to fly) + -을/ㄹ 것 같다 (to seem like/feel like),Phrase,하늘을 날 것 같은 기분이었다.,It felt like I was flying in the sky.
어떡하다,What should I do? / What to do?,어찌하다 (to do what/how) compressed to 어떡하다,Phrase,어.. 근데 어떡하지?,Oh... but what should I do?
관심이 있다,to be interested (in),관심 (interest) + 이 (subject marker) + 있다 (to exist/have),Phrase,"하지만 너는 인기도 많고, 친구들도 많기 때문에 나한테 관심이 있을지 정말 몰랐어……",But you were so popular and had so many friends that I really didn't know if you would be interested in me...
확인해 보다,to try checking / to check (and see),확인하다 (to confirm/check) + -아/어 보다 (auxiliary verb indicating 'trying' or 'experiencing'),Phrase,핸드폰을 확인해 봤다.,I checked my phone.
추억을 쌓다,to build/make memories,추억 (memory) + 을 (object marker) + 쌓다 (to stack/build/accumulate),Phrase,현재 나는 민호와 하루하루를 좋은 추억을 쌓으면서 행복하게 지내고 있다.,"Currently, Minho and I are spending each day happily, building good memories."
데이트,date,Loanword (English),Noun,첫 데이트,First date
대학,university,"大 (대: big, great) + 學 (학: learn, study)",Noun,"내가 대학에 입학했을 때, 한 남자를 만났다.","When I entered university, I met a guy."
입학,admission (to school),"入 (입: enter) + 學 (학: learn, study)",Noun,"내가 대학에 입학했을 때, 한 남자를 만났다.","When I entered university, I met a guy."
때,time,Pure Korean,Noun,"내가 대학에 입학했을 때, 한 남자를 만났다.","When I entered university, I met a guy."
첫눈,first sight,Pure Korean,Noun,처음에 그를 봤을 때 나는 첫눈에 사랑에 빠졌다.,"When I first saw him, I fell in love at first sight."
빠지다,to fall (into),Pure Korean,Verb,처음에 그를 봤을 때 나는 첫눈에 사랑에 빠졌다.,"When I first saw him, I fell in love at first sight."
매우,very,Pure Korean,Adverb,하지만 그는 매우 인기가 많았기 때문에 그에게 말을 하기 어려웠다.,"However, he was very popular, so it was difficult to talk to him."
때문,reason / because of,Pure Korean,Noun,하지만 그는 매우 인기가 많았기 때문에 그에게 말을 하기 어려웠다.,"However, he was very popular, so it was difficult to talk to him."
흐르다,to flow,Pure Korean,Verb,그렇게 시간이 흘러 여름 방학이 다가왔다.,"As time flowed like that, summer vacation approached."
여름,summer,Pure Korean,Noun,그렇게 시간이 흘러 여름 방학이 다가왔다.,"As time flowed like that, summer vacation approached."
방학,vacation,"放 (방: release, let go) + 學 (학: learn, study)",Noun,그렇게 시간이 흘러 여름 방학이 다가왔다.,"As time flowed like that, summer vacation approached."
다가오다,to approach,Pure Korean,Verb,그렇게 시간이 흘러 여름 방학이 다가왔다.,"As time flowed like that, summer vacation approached."
시작,start,"始 (시: begin, start) + 作 (작: make, do)",Noun,나는 방학이 시작하기 전에 그와 꼭 한 번 말을 해 봐야겠다고 결심을 했다.,I decided that I must talk to him at least once before vacation started.
전,before,"前 (전: front, before)",Noun,나는 방학이 시작하기 전에 그와 꼭 한 번 말을 해 봐야겠다고 결심을 했다.,I decided that I must talk to him at least once before vacation started.
결심,decision,"決 (결: decide, determine) + 心 (심: heart, mind)",Noun,나는 방학이 시작하기 전에 그와 꼭 한 번 말을 해 봐야겠다고 결심을 했다.,I decided that I must talk to him at least once before vacation started.
용기,courage,"勇 (용: brave, courageous) + 氣 (기: spirit, energy)",Noun,나는 용기를 내고 그의 수업이 있는 교실에서 기다렸다.,I plucked up my courage and waited in the classroom where his class was.
내다,to exert / to pluck up,Pure Korean,Verb,나는 용기를 내고 그의 수업이 있는 교실에서 기다렸다.,I plucked up my courage and waited in the classroom where his class was.
멀리,far (away),Pure Korean,Adverb,멀리서 그가 수업이 끝나고 걸어 오는 것이 보였다.,"From afar, I saw him walking after his class ended."
가슴,chest / heart,Pure Korean,Noun,나의 가슴은 두근두근 뛰기 시작했다.,My heart started pounding with a thumping sound.
두근두근,thumping / pounding,Pure Korean,Adverb,나의 가슴은 두근두근 뛰기 시작했다.,My heart started pounding with a thumping sound.
뛰다,to pound / to beat,Pure Korean,Verb,나의 가슴은 두근두근 뛰기 시작했다.,My heart started pounding with a thumping sound.
기회,opportunity,"機 (기: machine, opportunity) + 會 (회: gather, meet, occasion)",Noun,이번 기회가 아니라면 나는 평생 그에게 말을 못할 수도 있어.’,"'If not this opportunity, I might never be able to talk to him my whole life.'"
평생,lifetime,"平 (평: flat, peaceful) + 生 (생: life, birth)",Noun,이번 기회가 아니라면 나는 평생 그에게 말을 못할 수도 있어.’,"'If not this opportunity, I might never be able to talk to him my whole life.'"
못,cannot,Pure Korean,Adverb,이번 기회가 아니라면 나는 평생 그에게 말을 못할 수도 있어.’,"'If not this opportunity, I might never be able to talk to him my whole life.'"
혹시,by any chance / perhaps,"惑 (혹: confuse, mislead) + 時 (시: time, moment)",Adverb,"나: “저기 혹시 나를 알아? 나는 너랑 같은 전공을 공부하는 이은수야.”
민호: “아, 당연하지. 안녕? 드디어 이렇게 처음으로 말을 하네, 근데 무슨 일이야?”
나: “아… 그냥… 방학이 시작되기 전에 너에게 말을 하고 싶었어. 혹시 시간이 괜찮다면 나와 함께 점심 먹을래?”
민호: “어? 아 그래? 어.. 근데 어떡하지? 내가 지금 이 수업 후에 바로 수업이 있어서.. 혹시 괜찮다면 나중에 먹을 수 있을까?”
나: “알았어. 나는 네가 수업이 있는지 몰랐어. 수업 열심히 들어, 방학 잘 보내고…”","Me: “Excuse me, by any chance, do you know me? I'm Lee Eun-soo, studying the same major as you.” Minho: “Oh, of course. Hello? We're finally talking for the first time like this, but what's up?” Me: “Ah… just… I wanted to talk to you before vacation started. By any chance, if you're free, would you like to have lunch with me?” Minho: “Huh? Oh really? Uh.. but what should I do? I have another class right after this one, so… by any chance, could we eat later?” Me: “Okay. I didn't know you had a class. Study hard, have a good vacation…”"
전공,major (academic),"專 (전: specialized, exclusive) + 攻 (공: attack, study)",Noun,"나: “저기 혹시 나를 알아? 나는 너랑 같은 전공을 공부하는 이은수야.”
민호: “아, 당연하지. 안녕? 드디어 이렇게 처음으로 말을 하네, 근데 무슨 일이야?”
나: “아… 그냥… 방학이 시작되기 전에 너에게 말을 하고 싶었어. 혹시 시간이 괜찮다면 나와 함께 점심 먹을래?”
민호: “어? 아 그래? 어.. 근데 어떡하지? 내가 지금 이 수업 후에 바로 수업이 있어서.. 혹시 괜찮다면 나중에 먹을 수 있을까?”
나: “알았어. 나는 네가 수업이 있는지 몰랐어. 수업 열심히 들어, 방학 잘 보내고…”","Me: “Excuse me, by any chance, do you know me? I'm Lee Eun-soo, studying the same major as you.” Minho: “Oh, of course. Hello? We're finally talking for the first time like this, but what's up?” Me: “Ah… just… I wanted to talk to you before vacation started. By any chance, if you're free, would you like to have lunch with me?” Minho: “Huh? Oh really? Uh.. but what should I do? I have another class right after this one, so… by any chance, could we eat later?” Me: “Okay. I didn't know you had a class. Study hard, have a good vacation…”"
은,Eun (part of a given name),Part of a given name. Common Hanja for 'Eun' include 恩 (grace) or 銀 (silver).,Noun,"나: “저기 혹시 나를 알아? 나는 너랑 같은 전공을 공부하는 이은수야.”
민호: “아, 당연하지. 안녕? 드디어 이렇게 처음으로 말을 하네, 근데 무슨 일이야?”
나: “아… 그냥… 방학이 시작되기 전에 너에게 말을 하고 싶었어. 혹시 시간이 괜찮다면 나와 함께 점심 먹을래?”
민호: “어? 아 그래? 어.. 근데 어떡하지? 내가 지금 이 수업 후에 바로 수업이 있어서.. 혹시 괜찮다면 나중에 먹을 수 있을까?”
나: “알았어. 나는 네가 수업이 있는지 몰랐어. 수업 열심히 들어, 방학 잘 보내고…”","Me: “Excuse me, by any chance, do you know me? I'm Lee Eun-soo, studying the same major as you.” Minho: “Oh, of course. Hello? We're finally talking for the first time like this, but what's up?” Me: “Ah… just… I wanted to talk to you before vacation started. By any chance, if you're free, would you like to have lunch with me?” Minho: “Huh? Oh really? Uh.. but what should I do? I have another class right after this one, so… by any chance, could we eat later?” Me: “Okay. I didn't know you had a class. Study hard, have a good vacation…”"
민호,Minho (a given name),"Part of a given name. Common Hanja for 'Min' (민) include 敏 (clever) or 珉 (jade-like stone), and for 'Ho' (호) include 浩 (vast) or 豪 (heroic).",Noun,"나: “저기 혹시 나를 알아? 나는 너랑 같은 전공을 공부하는 이은수야.”
민호: “아, 당연하지. 안녕? 드디어 이렇게 처음으로 말을 하네, 근데 무슨 일이야?”
나: “아… 그냥… 방학이 시작되기 전에 너에게 말을 하고 싶었어. 혹시 시간이 괜찮다면 나와 함께 점심 먹을래?”
민호: “어? 아 그래? 어.. 근데 어떡하지? 내가 지금 이 수업 후에 바로 수업이 있어서.. 혹시 괜찮다면 나중에 먹을 수 있을까?”
나: “알았어. 나는 네가 수업이 있는지 몰랐어. 수업 열심히 들어, 방학 잘 보내고…”","Me: “Excuse me, by any chance, do you know me? I'm Lee Eun-soo, studying the same major as you.” Minho: “Oh, of course. Hello? We're finally talking for the first time like this, but what's up?” Me: “Ah… just… I wanted to talk to you before vacation started. By any chance, if you're free, would you like to have lunch with me?” Minho: “Huh? Oh really? Uh.. but what should I do? I have another class right after this one, so… by any chance, could we eat later?” Me: “Okay. I didn't know you had a class. Study hard, have a good vacation…”"
드디어,finally / at last,Pure Korean,Adverb,"나: “저기 혹시 나를 알아? 나는 너랑 같은 전공을 공부하는 이은수야.”
민호: “아, 당연하지. 안녕? 드디어 이렇게 처음으로 말을 하네, 근데 무슨 일이야?”
나: “아… 그냥… 방학이 시작되기 전에 너에게 말을 하고 싶었어. 혹시 시간이 괜찮다면 나와 함께 점심 먹을래?”
민호: “어? 아 그래? 어.. 근데 어떡하지? 내가 지금 이 수업 후에 바로 수업이 있어서.. 혹시 괜찮다면 나중에 먹을 수 있을까?”
나: “알았어. 나는 네가 수업이 있는지 몰랐어. 수업 열심히 들어, 방학 잘 보내고…”","Me: “Excuse me, by any chance, do you know me? I'm Lee Eun-soo, studying the same major as you.” Minho: “Oh, of course. Hello? We're finally talking for the first time like this, but what's up?” Me: “Ah… just… I wanted to talk to you before vacation started. By any chance, if you're free, would you like to have lunch with me?” Minho: “Huh? Oh really? Uh.. but what should I do? I have another class right after this one, so… by any chance, could we eat later?” Me: “Okay. I didn't know you had a class. Study hard, have a good vacation…”"
근데,but / by the way,Pure Korean,Adverb,"나: “저기 혹시 나를 알아? 나는 너랑 같은 전공을 공부하는 이은수야.”
민호: “아, 당연하지. 안녕? 드디어 이렇게 처음으로 말을 하네, 근데 무슨 일이야?”
나: “아… 그냥… 방학이 시작되기 전에 너에게 말을 하고 싶었어. 혹시 시간이 괜찮다면 나와 함께 점심 먹을래?”
민호: “어? 아 그래? 어.. 근데 어떡하지? 내가 지금 이 수업 후에 바로 수업이 있어서.. 혹시 괜찮다면 나중에 먹을 수 있을까?”
나: “알았어. 나는 네가 수업이 있는지 몰랐어. 수업 열심히 들어, 방학 잘 보내고…”","Me: “Excuse me, by any chance, do you know me? I'm Lee Eun-soo, studying the same major as you.” Minho: “Oh, of course. Hello? We're finally talking for the first time like this, but what's up?” Me: “Ah… just… I wanted to talk to you before vacation started. By any chance, if you're free, would you like to have lunch with me?” Minho: “Huh? Oh really? Uh.. but what should I do? I have another class right after this one, so… by any chance, could we eat later?” Me: “Okay. I didn't know you had a class. Study hard, have a good vacation…”"
그냥,just,Pure Korean,Adverb,"나: “저기 혹시 나를 알아? 나는 너랑 같은 전공을 공부하는 이은수야.”
민호: “아, 당연하지. 안녕? 드디어 이렇게 처음으로 말을 하네, 근데 무슨 일이야?”
나: “아… 그냥… 방학이 시작되기 전에 너에게 말을 하고 싶었어. 혹시 시간이 괜찮다면 나와 함께 점심 먹을래?”
민호: “어? 아 그래? 어.. 근데 어떡하지? 내가 지금 이 수업 후에 바로 수업이 있어서.. 혹시 괜찮다면 나중에 먹을 수 있을까?”
나: “알았어. 나는 네가 수업이 있는지 몰랐어. 수업 열심히 들어, 방학 잘 보내고…”",Ah... just... I wanted to talk to you before the vacation started.
어떡하다,to do what,Pure Korean,Verb,"나: “저기 혹시 나를 알아? 나는 너랑 같은 전공을 공부하는 이은수야.”
민호: “아, 당연하지. 안녕? 드디어 이렇게 처음으로 말을 하네, 근데 무슨 일이야?”
나: “아… 그냥… 방학이 시작되기 전에 너에게 말을 하고 싶었어. 혹시 시간이 괜찮다면 나와 함께 점심 먹을래?”
민호: “어? 아 그래? 어.. 근데 어떡하지? 내가 지금 이 수업 후에 바로 수업이 있어서.. 혹시 괜찮다면 나중에 먹을 수 있을까?”
나: “알았어. 나는 네가 수업이 있는지 몰랐어. 수업 열심히 들어, 방학 잘 보내고…”",Uh... but what should I do?
나중,later (time),Pure Korean,Noun,"나: “저기 혹시 나를 알아? 나는 너랑 같은 전공을 공부하는 이은수야.”
민호: “아, 당연하지. 안녕? 드디어 이렇게 처음으로 말을 하네, 근데 무슨 일이야?”
나: “아… 그냥… 방학이 시작되기 전에 너에게 말을 하고 싶었어. 혹시 시간이 괜찮다면 나와 함께 점심 먹을래?”
민호: “어? 아 그래? 어.. 근데 어떡하지? 내가 지금 이 수업 후에 바로 수업이 있어서.. 혹시 괜찮다면 나중에 먹을 수 있을까?”
나: “알았어. 나는 네가 수업이 있는지 몰랐어. 수업 열심히 들어, 방학 잘 보내고…”","If it's okay, could we eat later?"
보내다,to spend,Pure Korean,Verb,"나: “저기 혹시 나를 알아? 나는 너랑 같은 전공을 공부하는 이은수야.”
민호: “아, 당연하지. 안녕? 드디어 이렇게 처음으로 말을 하네, 근데 무슨 일이야?”
나: “아… 그냥… 방학이 시작되기 전에 너에게 말을 하고 싶었어. 혹시 시간이 괜찮다면 나와 함께 점심 먹을래?”
민호: “어? 아 그래? 어.. 근데 어떡하지? 내가 지금 이 수업 후에 바로 수업이 있어서.. 혹시 괜찮다면 나중에 먹을 수 있을까?”
나: “알았어. 나는 네가 수업이 있는지 몰랐어. 수업 열심히 들어, 방학 잘 보내고…”","Listen carefully in class, have a good vacation..."
핑계,excuse,Pure Korean,Noun,수업이 있어서 가야 한다는 민호의 말은 핑계 같았다.,Minho's words that he had to go because of class seemed like an excuse.
물론,of course,"勿 (물: not, do not) + 論 (론: discuss, argue)",Adverb,물론 진짜로 수업이 있을 수도 있겠지만 그냥 가슴이 아팠다.,"Of course, he might genuinely have had class, but my heart just ached."
진짜로,genuinely,Pure Korean,Adverb,물론 진짜로 수업이 있을 수도 있겠지만 그냥 가슴이 아팠다.,"Of course, he might genuinely have had class, but my heart just ached."
실망,disappointment,"失 (실: lose, err) + 望 (망: hope, expect)",Noun,나는 실망을 하고 울면서 집에 돌아왔다.,I was disappointed and came home crying.
돌아오다,to return,Pure Korean,Verb,나는 실망을 하고 울면서 집에 돌아왔다.,I was disappointed and came home crying.
아무것,anything,Pure Korean,Noun,아무것도 하기 싫었기 때문에 그냥 침대에 누워 있었다.,"Because I didn't want to do anything, I just lay on the bed."
싫다,to dislike,Pure Korean,Adjective,아무것도 하기 싫었기 때문에 그냥 침대에 누워 있었다.,"Because I didn't want to do anything, I just lay on the bed."
침대,bed,"寢 (침: sleep, bed) + 臺 (대: stand, platform)",Noun,아무것도 하기 싫었기 때문에 그냥 침대에 누워 있었다.,"Because I didn't want to do anything, I just lay on the bed."
