Korean,English,Etymology,Part of Speech,Example Sentence,Sentence Translation
첫눈에 사랑에 빠지다,to fall in love at first sight,"첫눈 (first sight) + -에 (at) + 사랑 (love) + -에 (in) + 빠지다 (to fall) ",Phrase,처음에 그를 봤을 때 나는 첫눈에 사랑에 빠졌다.,When I first saw him I fell in love at first sight.
시간이 흐르다,for time to go by (flow),"시간 (time) + -이 (subject marker) + 흐르다 (to flow) ",Phrase,그렇게 시간이 흘러 여름 방학이 다가왔다.,"As time went by like that, summer vacation approached."
~아/어야겠다고 결심을 하다,to decide that one must definitely do something,"-아/어야겠다 (must/will definitely) + -고 (quoting particle) + 결심을 하다 (to decide) ",Phrase,내일 그 여자와 얘기해야겠다고 결심을 했어요.,"I decided that I must talk with that girl tomorrow."
용기를 내다,to muster/get the courage,"용기 (courage) + -를 (object marker) + 내다 (to bring out) ",Phrase,나는 용기를 내고 그의 수업이 있는 교실에서 기다렸다.,I mustered my courage and waited in the classroom where his class was.
하늘을 날 것 같은 기분,to feel like one is flying (on cloud nine),"하늘 (sky) + -을 (object marker) + 날다 (to fly) + -ㄹ 것 같은 (feeling like) + 기분 (mood) ",Phrase,민호가 나에게 밥을 먹자고 했다! 하늘을 날 것 같은 기분이었다.,Minho asked me to eat! I felt like I was flying in the sky.
마음을 감추다,to cover up/hide one's feelings,"마음 (heart/feelings) + -을 (object marker) + 감추다 (to hide/cover) ",Phrase,나는 최대한 내 기쁜 마음을 감추려고 노력했다.,I tried my best to hide my happy feelings.
말을 걸다,to start a conversation/strike up a talk,"말 (speech) + -을 (object marker) + 걸다 (to initiate) ",Phrase,처음에 네가 나에게 말을 걸었을 때 얼마나 기뻤는지 몰라.,I don't know how happy I was when you first started a conversation with me.
좋은 추억을 쌓다,to build/make good memories,"좋은 (good) + 추억 (memory) + -을 (object marker) + 쌓다 (to stack/pile up)",Phrase,현재 나는 민호와 하루하루를 좋은 추억을 쌓으면서 행복하게 지내고 있다.,Currently I am living happily with Minho building good memories day by day.
~ㄹ/을 뿐만 아니라,not only... but also,"뿐 (only/just) + 만 (only) + 아니- (not) + -ㄹ (future/prospective modifier) + -라 (connective)",Grammar,"그것은 맛이 없을 뿐만 아니라 비싸요. ","Not only is that thing not delicious, but it is expensive. "
소중한 친구일 뿐만 아니라,not only a precious friend but also...,"소중하다 (to be precious) + 친구 (friend) + 이다 (to be) + -ㄹ 뿐만 아니라 (not only... but also)",Phrase,"민호는 나에게 아주 소중한 친구일 뿐만 아니라 애인이다. ","Not only is Minho a precious friend, but also my boyfriend. "
좋은 추억을 쌓다,to build/make good memories,"좋은 (good) + 추억 (memory) + -을 (object marker) + 쌓다 (to stack/pile up)",Phrase,현재 나는 민호와 하루하루를 좋은 추억을 쌓으면서 행복하게 지내고 있다. ,Currently I am living happily with Minho building good memories day by day.
