Korean,Part of Speech,Example Sentence,English,Sentence Translation,Etymology
동물원,Noun,동물원에서의 하루,zoo,A day at the zoo.,"動物園 -> 動 (동: move) + 物 (물: thing, creature) + 園 (원: garden, park)"
펭귄,Noun,"나는 펭귄을 제일 좋아하는 일곱 살, 소희이다.",penguin,"I am seven-year-old Sohee, who likes penguins the most.",Pure Korean
제일,Adverb,"나는 펭귄을 제일 좋아하는 일곱 살, 소희이다.",most,"I am seven-year-old Sohee, who likes penguins the most.","第一 -> 第 (제: order, sequence) + 一 (일: one, first)"
살,Noun,"나는 펭귄을 제일 좋아하는 일곱 살, 소희이다.",years old,"I am seven-year-old Sohee, who likes penguins the most.",Pure Korean
소희,Noun,"나는 펭귄을 제일 좋아하는 일곱 살, 소희이다.",Sohee,"I am seven-year-old Sohee, who likes penguins the most.",Pure Korean
인형,Noun,나는 펭귄이 좋아서 펭귄 인형이 다섯 개가 있다.,doll,"I like penguins, so I have five penguin dolls.","人形 -> 人 (인: person, human) + 形 (형: shape, form)"
드디어,Adverb,오늘은 드디어 처음으로 아빠랑 펭귄을 보러 동물원에 가는 날이라 너무 기대됐다.,finally,"Today was finally the day I was going to the zoo with Dad to see penguins for the first time, so I was really excited.",Pure Korean
기대,Noun,오늘은 드디어 처음으로 아빠랑 펭귄을 보러 동물원에 가는 날이라 너무 기대됐다.,expectation,"Today was finally the day I was going to the zoo with Dad to see penguins for the first time, so I was really excited.","期待 -> 期 (기: expect, hope) + 待 (대: wait, expect)"
저번,Noun,저번 주에 동물원에 가려고 했지만 내가 갑자기 감기에 걸려서 갈 수 없었다.,last,"I was going to go to the zoo last week, but I suddenly caught a cold and couldn't go.",Pure Korean
주,Noun,저번 주에 동물원에 가려고 했지만 내가 갑자기 감기에 걸려서 갈 수 없었다.,week,"I was going to go to the zoo last week, but I suddenly caught a cold and couldn't go.","週 -> 週 (주: week, circumference)"
갑자기,Adverb,저번 주에 동물원에 가려고 했지만 내가 갑자기 감기에 걸려서 갈 수 없었다.,suddenly,"I was going to go to the zoo last week, but I suddenly caught a cold and couldn't go.",Pure Korean
감기,Noun,저번 주에 동물원에 가려고 했지만 내가 갑자기 감기에 걸려서 갈 수 없었다.,cold (illness),"I was going to go to the zoo last week, but I suddenly caught a cold and couldn't go.","感氣 -> 感 (감: feel, sense) + 氣 (기: air, spirit)"
도시락,Noun,엄마는 나와 아빠를 위해 도시락을 만들어서 점심으로 그 도시락을 먹을 거다.,lunchbox,"Mom made a lunchbox for Dad and me, and we're going to eat it for lunch.",Pure Korean
출발,Noun,나는 아빠와 9 시에 동물원으로 출발했고 엄마는 회사에 갔다.,departure,"Dad and I departed for the zoo at 9 o'clock, and Mom went to work.","出發 -> 出 (출: go out) + 發 (발: start, depart)"
당연히,Adverb,당연히 엄마와 가고 싶었지만 어차피 엄마가 일해야 되어서 어쩔 수 없었다.,of course,"Of course, I wanted to go with Mom, but she had to work anyway, so it couldn't be helped.","當然 -> 當 (당: ought, be) + 然 (연: so, like)"
어차피,Adverb,당연히 엄마와 가고 싶었지만 어차피 엄마가 일해야 되어서 어쩔 수 없었다.,anyway,"Of course, I wanted to go with Mom, but she had to work anyway, so it couldn't be helped.","於此彼 -> 於 (어: in, at) + 此 (차: this) + 彼 (피: that)"
어쩌다,Verb,당연히 엄마와 가고 싶었지만 어차피 엄마가 일해야 되어서 어쩔 수 없었다.,to be unable to help,"Of course, I wanted to go with Mom, but she had to work anyway, so it couldn't be helped.",Pure Korean
도착,Noun,동물원에 도착해서 내가 아빠와 제일 먼저 하고 싶은 것은 펭귄을 보는 것이었다.,arrival,"After arriving at the zoo, the first thing Dad and I wanted to do was see the penguins.","到着 -> 到 (도: arrive, reach) + 着 (착: attach, arrive)"
입구,Noun,하지만 펭귄이 있는 곳은 동물원 입구에서 멀다고 하니 아빠와 나는 우선 다른 동물들을 먼저 보기로 했다.,entrance,"However, since they said the penguins' area was far from the zoo entrance, Dad and I decided to see other animals first.","入口 -> 入 (입: enter) + 口 (구: mouth, opening)"
코끼리,Noun,우리가 처음으로 만난 동물은 코끼리였다.,elephant,The first animal we met was an elephant.,Pure Korean
훨씬,Adverb,코끼리는 책에서 본 것보다 훨씬 컸다.,much,The elephant was much bigger than what I had seen in books.,Pure Korean
아기,Noun,특히 아기 코끼리는 너무 귀여웠다.,baby,Especially the baby elephant was so cute.,Pure Korean
어리다,Adjective,"소희: “아기 코끼리야, 너는 몇 살이야?”
아빠: “소희야, 아직 아기 코끼리가 어려서 말을 못 해. 아기 코끼리는 태어난 지 두 달 됐대. 귀엽지?”
소희: “아빠! 너무 귀여워! 나 빨리 다른 동물 친구들도 보고 싶어! 빨리 걷자!”",to be young,"Sohee: “Baby elephant, how old are you?” Dad: “Sohee, the baby elephant is still young, so it can't talk. It's only two months old. Isn't it cute?” Sohee: “Dad! It's so cute! I want to see other animal friends quickly! Let's walk fast!”",Pure Korean
