Korean,English,Etymology,Part of Speech,Example Sentence,Sentence Translation
날이라,because it is the day,날 (day) + 이다 (to be) + -(이)라서 (because),Grammar,오늘은 동물원에 가는 날이라 너무 기대됐다.,Today was the day we go to the zoo so I was so excited.
-(으)ㄹ 거다,will / going to,-(으)ㄹ (future modifier) + 것 (thing) + 이다 (to be),Grammar,점심으로 그 도시락을 먹을 거다.,We are going to eat that lunchbox for lunch.
-기로 하다,to decide to,-기 (nominalizer) + 로 (direction) + 하다 (to do),Grammar,다른 동물들을 먼저 보기로 했다.,We decided to see other animals first.
-ㄴ 것 같다,it seems like / I think,-ㄴ (modifier) + 것 (thing) + 같다 (to be like),Grammar,내 목보다 열 배는 더 긴 것 같았다.,It seemed ten times longer than my neck.
-(으)ㄹ 수 있다,can / to be able to,-(으)ㄹ (modifier) + 수 (possibility) + 있다 (exist),Grammar,어떻게 저렇게 목이 길 수가 있어?,How can the neck be that long?
오히려,on the contrary / actually,오히려 (adverb of contrast),Adverb,무서울 줄 알았는데 오히려 귀여웠다.,I thought it would be scary but on the contrary it was cute.
-고 나서,after finishing,-고 (and) + 나서 (to finish/emerge),Grammar,기린을 보고 나서 점심을 먹었다.,After finishing seeing the giraffes we ate lunch.
-자고 하다,to suggest doing / 'let's...',-자 (let's) + 고 (quotation) + 하다 (to say),Grammar,아빠가 점심을 먹자고 했다.,Dad suggested that we eat lunch.
생각한 대로,just as I thought,생각하다 (think) + -ㄴ (past) + 대로 (as/like),Phrase,펭귄은 내가 생각한 대로 작고 귀여웠다.,The penguins were small and cute just as I thought.
만져보고 싶다,to want to try touching,만지다 (touch) + -어 보다 (try) + -고 싶다 (want),Phrase,펭귄을 만져보고 싶어서 머리를 쓰다듬었다.,I wanted to try touching the penguin so I stroked its head.
어쩔 수 없다,it can't be helped / unavoidable,어찌 (how) + ㄹ 수 (way) + 없다 (none),Idiom,엄마가 일해야 되어서 어쩔 수 없었다.,Mom had to work so it couldn't be helped.
넘어질 뻔했다,almost fell / nearly tripped,넘어지다 (fall) + ㄹ (modifier) + 뻔 (brink) + 하다,Grammar,나는 너무 빨리 걸어서 넘어질 뻔했다.,I walked so fast I almost fell.
줄 서!,Line up!,줄 (line) + 서다 (to stand),Expression,펭귄들아! 줄 서!,Penguins! Line up!
가슴이 설레다,to be thrilled / heart flutters,가슴 (chest/heart) + 설레다 (flutter),Idiom,미래에 사육사가 될 생각에 가슴이 설레었다.,My heart fluttered at the thought of becoming a zookeeper.
입에 맞다,to suit one's taste,입 (mouth) + 맞다 (to fit),Idiom,엄마가 싸 준 도시락이 내 입에 딱 맞았다.,The lunchbox Mom packed suited my taste perfectly.
믿을 수가 없다,can't believe it,믿다 (believe) + ㄹ 수 없다 (cannot),Phrase,나는 눈앞의 풍경을 믿을 수가 없었다.,I couldn't believe the sight before my eyes.
본 것보다,than what I saw,보다 (see) + -ㄴ 것 (thing) + 보다 (than),Grammar,책에서 본 것보다 훨씬 컸다.,It was much bigger than what I saw in books.
-고 있었다,was doing (past continuous),-고 있다 (is doing) + 었다 (past),Grammar,사자는 낮잠을 자고 있었다.,The lion was taking a nap.
말을 배우다,to learn a language,말 (words/speech) + 배우다 (learn),Phrase,나도 펭귄들의 말을 배우고 싶어!,I want to learn the penguins' language too!
눈 앞에 있다,to be right before one's eyes,눈 (eye) + 앞 (front) + 있다 (to be),
