Korean,Part of Speech,Example Sentence,English,Sentence Translation,Etymology
잔,Noun,커피 한잔의 여유,,,
여유,Noun,커피 한잔의 여유,,,
직장,Noun,요즘 새로운 직장에서 적응을 하면서 스트레스를 많이 받고 있다.,,,
적응,Noun,요즘 새로운 직장에서 적응을 하면서 스트레스를 많이 받고 있다.,,,
스트레스,Noun,요즘 새로운 직장에서 적응을 하면서 스트레스를 많이 받고 있다.,,,
시작,Noun,하지만 내가 하고 싶은 일을 시작해서 하루하루 잘 버티고 있다.,,,
하루하루,Adverb,하지만 내가 하고 싶은 일을 시작해서 하루하루 잘 버티고 있다.,,,
버티다,Verb,하지만 내가 하고 싶은 일을 시작해서 하루하루 잘 버티고 있다.,,,
설레다,Verb,어제부터 오랜만에 쉴 생각을 하니 설레었다.,,,
청소,Noun,우선 아침에 일어나서 가볍게 방 청소를 하고 집 앞 카페에 가서 샌드위치랑 커피를 한 잔 마시면서 잡지를 읽어야겠다고 생각했다.,,,
샌드위치,Noun,우선 아침에 일어나서 가볍게 방 청소를 하고 집 앞 카페에 가서 샌드위치랑 커피를 한 잔 마시면서 잡지를 읽어야겠다고 생각했다.,,,
때마침,Adverb,때마침 이틀 전에 주문 해 놓은 잡지가 도착했다.,,,
이틀,Noun,때마침 이틀 전에 주문 해 놓은 잡지가 도착했다.,,,
주문,Noun,때마침 이틀 전에 주문 해 놓은 잡지가 도착했다.,,,
도착,Noun,때마침 이틀 전에 주문 해 놓은 잡지가 도착했다.,,,
제일,Adverb,청소를 하고 나는 내가 제일 즐겨 읽는 잡지 한 권을 챙겨 길을 나섰다.,,,
즐기다,Verb,청소를 하고 나는 내가 제일 즐겨 읽는 잡지 한 권을 챙겨 길을 나섰다.,,,
권,Noun,청소를 하고 나는 내가 제일 즐겨 읽는 잡지 한 권을 챙겨 길을 나섰다.,,,
챙기다,Verb,청소를 하고 나는 내가 제일 즐겨 읽는 잡지 한 권을 챙겨 길을 나섰다.,,,
달콤하다,Adjective,내가 가장 좋아하는 카페에 가서 달콤한 카페모카와 샌드위치를 주문했다.,,,
카페모카,Noun,내가 가장 좋아하는 카페에 가서 달콤한 카페모카와 샌드위치를 주문했다.,,,
노트북,Noun,이 카페에 와서 노트북으로 이력서를 썼던 게 며칠 전 같은데 벌써 한 달 전이다.,,,
이력서,Noun,이 카페에 와서 노트북으로 이력서를 썼던 게 며칠 전 같은데 벌써 한 달 전이다.,,,
며칠,Noun,이 카페에 와서 노트북으로 이력서를 썼던 게 며칠 전 같은데 벌써 한 달 전이다.,,,
참,Adverb,"그때는 하루하루가 참 힘들었는데, 이제는 좋아하는 일을 하고 있어서 참 좋다.",,,
바쁘다,Adjective,"직원: “오랜만에 오셨네요! 요즘 많이 바쁘세요?”
희영: “아, 한 달 전에 다시 일을 시작했거든요.",,,
희영,Noun,"직원: “오랜만에 오셨네요! 요즘 많이 바쁘세요?”
희영: “아, 한 달 전에 다시 일을 시작했거든요.",,,
여전히,Adverb,여전히 장사가 잘 되는 것 같네요!,,,
장사,Noun,여전히 장사가 잘 되는 것 같네요!,,,
감사,Noun,"직원: “하하, 감사합니다. 이번 달에 새로운 메뉴 나왔는데 나중에 꼭 한번 먹어 보세요! 맛있어요!”",,,
나중,Noun,"직원: “하하, 감사합니다. 이번 달에 새로운 메뉴 나왔는데 나중에 꼭 한번 먹어 보세요! 맛있어요!”",,,
단골,Noun,역시 단골 카페에 오니 이런저런 이야기도 하고 좋다.,,,
때,Noun,아 역시 카페모카는 스트레스 받았을 때 마시는 게 가장 맛있는 것 같다.,,,
적당히,Adverb,적당히 달콤하면서도 씁쓸한 이 맛!,,,
최고,Noun,정말 나에게는 최고의 커피이다.,,,
아메리카노,Noun,보통 사람들은 아메리카노를 많이 마시는데 나는 아마 평생 못 마실 것 같다.,,,
아마,Adverb,보통 사람들은 아메리카노를 많이 마시는데 나는 아마 평생 못 마실 것 같다.,,,
평생,Noun,보통 사람들은 아메리카노를 많이 마시는데 나는 아마 평생 못 마실 것 같다.,,,
최상,Noun,카페모카와 잡지 한 권은 나에게 최상의 조합이다.,,,
조합,Noun,카페모카와 잡지 한 권은 나에게 최상의 조합이다.,,,
낭비,Noun,"5 년 전만 해도 잡지 사는 게 돈 낭비라고 생각했는데, 요즘에는 잡지 읽을 때가 얼마나 좋은지 모른다.",,,
나쁘다,Adjective,나쁜 점이 있다면 잡지에 나온 새로 나온 화장품을 바로 사고 싶은 것이다.,,,
새로,Adverb,나쁜 점이 있다면 잡지에 나온 새로 나온 화장품을 바로 사고 싶은 것이다.,,,
화장품,Noun,나쁜 점이 있다면 잡지에 나온 새로 나온 화장품을 바로 사고 싶은 것이다.,,,
각자,Adverb,사람들은 각자 자기만의 스트레스 해소법이 있는데 나한테는 커피와 잡지인 것 같다.,,,
해소,Noun,사람들은 각자 자기만의 스트레스 해소법이 있는데 나한테는 커피와 잡지인 것 같다.,,,
해소법,Noun,만약에 나의 스트레스 해소법이 쇼핑이었다면 돈 모으는 게 많이 힘들었을 것 같다.,,,
고등학교,Noun,생각해보면 내가 잡지를 읽기 시작한 것 고등학교 때부터였다.,,,
가져오다,Verb,친구가 가져온 잡지를 우연히 읽으면서 잡지에 관심을 가지기 시작했다.,,,
우연히,Adverb,친구가 가져온 잡지를 우연히 읽으면서 잡지에 관심을 가지기 시작했다.,,,
매월,Adverb,그때부터 나는 매월 새로운 잡지가 나올 때마다 사서 읽었다.,,,
습관,Noun,그 습관이 지금까지 이어지고 있다.,,,
이어지다,Verb,그 습관이 지금까지 이어지고 있다.,,,
연락,Noun,커피를 다 마시고 오랜만에 친구한테 연락을 했다.,,,
취업,Noun,취업을 하기 전에 친구들한테 연락하는 게 쉽지 않았다.,,,
자신감,Noun,연락을 하고 싶었지만 나에 대한 자신감이 없었다.,,,
당연히,Adverb,하지만 고등학교 친구들은 당연히 다르다.,,,
신경,Noun,고등학교 친구들은 내가 무슨 일을 해도 신경 쓰지 않고 항상 반갑게 대해준다.,,,
항상,Adverb,고등학교 친구들은 내가 무슨 일을 해도 신경 쓰지 않고 항상 반갑게 대해준다.,,,
기회,Noun,이번 기회에 친구들에게 맛있는 것을 사야겠다.,,,
피곤,Noun,요즘에는 몸이 피곤해서 이곳 저곳 걸어 다니는 게 힘들다.,,,
살,Noun,처음에는 서른 살이 되면 나이가 많은 거라고 생각했는데 내가 스물아홉 살이 되었으니 그런 생각은 들지 않는다.,,,
성숙,Noun,나이가 들면서 좋은 점은 나이가 들수록 성숙해지는 것이다.,,,
이해,Noun,이제는 전에 이해하지 못 했던 상황들을 좀 더 잘 이해하게 된다.,,,
이것저것,Noun,이것저것 생각을 하고 친구가 드디어 도착했다.,,,
드디어,Adverb,이것저것 생각을 하고 친구가 드디어 도착했다.,,,
언제,Adverb,역시 내 친구는 언제 봐도 항상 밝다.,,,
