Korean,English,Etymology,Part of Speech,Example Sentence,Sentence Translation
스트레스가 쌓이다,stress accumulates / stress builds up,스트레스 (stress, loanword) + 이/가 (subject marker) + 쌓이다 (to pile up — passive of 쌓다),Phrase,계속 야근을 하면 스트레스가 쌓여요.,If you keep doing overtime your stress builds up.
스트레스를 풀다,to relieve / release stress,스트레스 (stress) + 를 (object marker) + 풀다 (to untie / release),Phrase,저는 음악을 들으면서 스트레스를 풀어요.,I relieve stress by listening to music.
전화를 걸다,to make a phone call,전화 (電話 telephone) + 를 (object marker) + 걸다 (to hang / initiate a connection),Phrase,밤 늦게 친구한테 전화를 걸면 안 돼요.,You shouldn't call your friends late at night.
전화를 끊다,to hang up the phone,전화 (電話 telephone) + 를 (object marker) + 끊다 (to cut / sever),Phrase,부모님하고 전화를 끊고 나서 울었어요.,After hanging up on my parents I cried.
소리를 지르다,to shout / to let out a scream,소리 (sound / voice) + 를 (object marker) + 지르다 (to let out / to yell),Phrase,노래방에서 소리를 막 질러도 괜찮아요.,It's fine to just scream your lungs out at a norebang.
힘을 내다,to muster energy / to cheer up,힘 (strength / energy) + 을 (object marker) + 내다 (to bring out / produce),Phrase,한번 울고 나면 다음에 더 힘을 낼 수 있어요.,After a good cry you can muster more energy next time.
마이크를 놓지 않다,to not let go of the microphone (mic hog),마이크 (microphone) + 를 (object marker) + 놓다 (to put down / let go) + -지 않다 (negation),Phrase,노래방 꼴불견 1위는 마이크를 절대 놓지 않는 사람이에요.,The number one norebang nuisance is the person who never lets go of the mic.
이불을 뒤집어 쓰다,to pull a blanket over oneself / to wrap up in a duvet,이불 (blanket / duvet) + 을 (object marker) + 뒤집어 쓰다 (to flip and wear — 뒤집다 to flip + 쓰다 to wear / cover),Phrase,혼자 이불을 뒤집어 쓰고 노래를 불렀어요.,I pulled the blanket over my head and sang alone.
노래 반주를 켜 놓다,to turn on a backing track and leave it running,노래 (song) + 반주 (伴奏 musical accompaniment) + 를 (object marker) + 켜다 (to turn on) + -아 놓다 (do and leave in that state),Phrase,컴퓨터로 노래 반주를 켜 놓고 연습했어요.,I turned on a backing track on my computer and practiced.
수다를 떨다,to chatter / to have a good gossip,수다 (chatter / small talk) + 를 (object marker) + 떨다 (to shake / scatter — here: to let loose),Phrase,친구들하고 수다를 떨면서 스트레스가 많이 풀렸어요.,I relieved a lot of stress chatting away with friends.
살이 찌다,to gain weight / to put on weight,살 (flesh / body fat) + 이 (subject marker) + 찌다 (to gain weight),Phrase,스트레스를 받으면 맛있는 걸 많이 먹어서 살이 쪄요.,When I'm stressed I eat a lot of good food and gain weight.
피해를 주다,to cause trouble / harm to someone,피해 (被害 harm / damage suffered) + 를 (object marker) + 주다 (to give),Phrase,다른 사람들한테 피해를 주지 말고 그냥 자요.,Don't cause trouble for others — just sleep.
그리움이 생기다,longing / homesickness arises,그리움 (longing / yearning — from 그립다 to miss someone) + 이 (subject marker) + 생기다 (to arise / come into being),Phrase,부모님이 보고 싶을 때 그리움이 생겨서 스트레스가 돼요.,When I miss my parents a longing arises and it becomes stress.
힘이 생기다,strength / energy wells up,힘 (strength) + 이 (subject marker) + 생기다 (to arise / come into being),Phrase,한번 울고 나면 정말 힘이 생겨요.,After a good cry you really feel strength welling up.
있을 때 잘 하다,to treat someone well while you have them / don't take someone for granted,있을 때 (while [they] are here — 있다 to exist + -을 때 when) + 잘 하다 (to do well / treat well),Phrase,있을 때 잘 해요. 후회하지 말고.,Treat me well while I'm here. Don't regret it later.
