Korean,Part of Speech,Example Sentence,English,Sentence Translation,Etymology
숫자,Noun,한국 사람한테 3이라는 숫자가 아주 의미가 있는 것 같아요.,number / numeral,It seems like the number 3 has great significance for Korean people.,數字: 數 number + 字 character
세끼,Noun,하루에 밥을 세끼 먹잖아요?,three meals (a day),We eat three meals a day right?,세 (three, native Korean) + 끼 (meal — counter for meals)
가위바위보,Noun,가위바위보를 삼세판으로 해요.,rock-paper-scissors,We play rock-paper-scissors in a best-of-three format.,가위 (scissors) + 바위 (rock) + 보 (cloth) — all native Korean
삼세판,Noun,세 번을 먼저 이긴 사람이 승자가 되는 거죠.,best of three rounds,The person who wins three rounds first becomes the winner.,三勝判: 三 three + 勝 victory + 判 judgment/round
이기다,Verb,세 번을 먼저 이긴 사람이 승자가 되는 거죠.,to win,The person who wins three rounds first becomes the winner.,Native Korean
승자,Noun,세 번을 먼저 이긴 사람이 승자가 되는 거죠.,winner / victor,The person who wins three rounds first becomes the winner.,勝者: 勝 victory + 者 person
의미,Noun,3이라는 숫자가 아주 의미가 있는 것 같아요.,meaning / significance,The number 3 seems to have great significance.,意味: 意 meaning + 味 taste/flavour
쌓이다,Verb,계속 부르니까 스트레스 쌓이죠?,to pile up / to accumulate,Because you keep calling my name stress builds up right?,Native Korean — passive of 쌓다 (to stack / pile)
귀찮다,Adjective,왜 이렇게 귀찮게 불러요?,to be annoying / bothersome,Why do you keep calling in such an annoying way?,Native Korean
주제,Noun,오늘 주제가 스트레스잖아요.,topic / theme / subject,Today's topic is stress isn't it.,主題: 主 main + 題 topic
그리움,Noun,그런 그리움이 있어요.,longing / yearning / homesickness,I have that kind of longing.,Native Korean — noun form of 그립다 (to miss someone)
종류,Noun,스트레스 종류에 따라서 푸는 방법이 다 달라요?,type / kind / category,Does the way to relieve stress differ depending on the type?,種類: 種 kind + 類 category
신나다,Adjective,신나는 노래를 골라서 소리를 지르는 거예요.,to be exciting / thrilling / pumped up,You pick an exciting song and let out a scream.,Native Korean — 신 (energy/spirit) + 나다 (to arise)
고르다,Verb,소리를 막 지를 수 있는 그런 노래를 골라서요.,to choose / to select / to pick,You pick songs where you can just scream your lungs out.,Native Korean (ㄹ irregular)
굉장히,Adverb,한국 노래를 굉장히 좋아하잖아요.,enormously / extremely / very much,You love Korean music enormously right?,宏壯히: 宏 grand + 壯 magnificent + 히 (adverb suffix)
딱,Adverb,한 시간 동안 노래를 딱 부르고 나면 기분이 정말 좋아져요.,exactly / precisely / just (crisp),After singing for exactly one hour you really feel great.,Native Korean mimetic word — suggests crispness or exactness
꼴불견,Noun,노래방 꼴불견 1위는 마이크를 절대 놓지 않는 사람이에요.,eyesore / embarrassing behaviour / nuisance,The number one norebang nuisance is the person who never lets go of the mic.,꼴 (appearance) + 불견 (不見 not worth seeing): 不 not + 見 see
반주,Noun,컴퓨터로 노래 반주를 켜 놓고 혼자 불렀어요.,musical accompaniment / backing track,I turned on a backing track on the computer and sang alone.,伴奏: 伴 accompany + 奏 play music
이불,Noun,혼자 이불을 뒤집어 쓰고 부른 적 있어요.,blanket / duvet / comforter,There was a time I wrapped myself in a blanket and sang alone.,Native Korean
다행,Noun/Adjective,어 다행이네요.,relief / fortunate / thank goodness,Oh what a relief.,多幸: 多 much + 幸 fortune/luck
감미롭다,Adjective,여자 앞에서는 조금 감미로운 노래를 불러야 되는데,sweet / mellow / mellifluous,In front of a woman I should sing a slightly sweet and mellow song.,甘味롭다: 甘 sweet + 味 taste + 롭다 (full of)
풀리다,Verb,노래 들으면서 스트레스가 많이 풀리더라고요.,to be relieved / released / to come undone,I found that stress gets relieved a lot when listening to music.,Native Korean — passive of 풀다 (to untie / release)
피곤하다,Adjective,요즘에 조금 피곤해서 스트레스가 많이 쌓였거든요.,to be tired / fatigued,Lately I've been a little tired so a lot of stress has built up.,疲困: 疲 tired + 困 difficulty/distress
후회,Noun,있을 때 잘 해 후회하지 말고,regret,Treat me well while I'm here and don't have any regrets.,後悔: 後 after + 悔 regret
외로움,Noun,외로워서 생기는 그 스트레스,loneliness / solitude,That stress that arises from loneliness,Native Korean — noun form of 외롭다 (to be lonely)
군대,Noun,군대 있을 때 많이 울었어요.,military / army,I cried a lot when I was in the military.,軍隊: 軍 army + 隊 unit/group
개운하다,Adjective,개운해지고 다음에 더 힘을 낼 수 있는 힘이 생겨요.,to feel refreshed / clear-headed / light,You feel refreshed and strength arises to push harder next time.,Native Korean
효율적,Adjective,그런 평범한 게 가장 효율적인 거 아닐까요?,efficient / effective,Isn't it the case that those ordinary things are the most effective?,效率的: 效 effect + 率 rate + 的 (adjective suffix)
평범하다,Adjective,조금 어떻게 보면 평범한 것들인 것 같아요.,to be ordinary / plain / unremarkable,In a way they seem like rather ordinary things.,平凡: 平 flat/ordinary + 凡 common
이따가,Adverb,이따가 노래방 한번 갈까?,a little later / in a bit,Shall we go to a norebang a little later?,Native Korean — contracted form of 이다가
제대로,Adverb,다음에 석진 씨 노래 한 번 제대로 들려 주세요.,properly / correctly / as it should be,Next time please let me hear Seokjin sing properly.,제 (齊 proper/even) + 대로 (as / according to)
기대하다,Verb,여러분들이 기대하고 있을 거예요.,to look forward to / to anticipate,Everyone will be looking forward to it.,期待: 期 expect + 待 wait
