Korean,Part of Speech,Example Sentence,English,Sentence Translation,Etymology
초록색,Noun,오늘은 제가 약간 그린그린 초록색 느낌으로 꾸며봤어요.,green,Today I decorated with a green-green kind of feel.,草綠色
꾸미다,Verb,오늘은 제가 약간 그린그린 초록색 느낌으로 꾸며봤어요.,"to decorate, to adorn",Today I decorated with a green-green kind of feel.,
자연,Noun,약간 자연 느낌?,nature,A bit of a nature feel?,自然
올라가다,Verb,"올라가다는 뜻의 등 그리고 산, 그래서 등산이에요.","to climb, to go up","'등' means 'to go up' and 산 means 'mountain', so together it's 등산 (hiking).",
등산,Noun,네 등산이라고 해요.,"hiking, mountain climbing","Yes, it's called 등산.",登山
한자,Noun,등산은 한자예요.,Chinese characters (Hanja),등산 is a Hanja word.,漢字
뜻,Noun,"올라가다는 뜻의 등 그리고 산, 그래서 등산이에요.",meaning,'등' means 'to go up' and 산 means 'mountain'.,
하이킹,Noun,여러분은 등산 하이킹 좋아해요?,hiking,Do you all like hiking?,(English loanword)
저번,Noun,제가 저번에 영상 하나를 올렸어요.,last time,"Last time, I uploaded a video.",
올리다,Verb,제가 저번에 영상 하나를 올렸어요.,"to upload, to post","Last time, I uploaded a video.",
창문,Noun,비행기 안에서 창문을 보는 장면이었어요.,window,It was a scene of looking out the window on an airplane.,窓門
장면,Noun,비행기 안에서 창문을 보는 장면이었어요.,scene,It was a scene of looking out the window on an airplane.,場面
밑,Noun,창문 밖을 보는데 밑에 산이랑 바다가 보였어요.,"bottom, below","Looking out the window, I could see mountains and the sea below.",
솔직히,Adverb,저는 솔직히 그 산이 그렇게 높은 줄 몰랐어요.,honestly,"Honestly, I didn't know the mountain was that high.",率直-
거의,Adverb,솔직히 저는 당연히 여러분 거의 다 바다라고 할 줄 알았어요.,almost,"Honestly, I thought almost all of you would say 'the sea'.",
대부분,Noun,대부분의 사람들은 당연히 바다를 더 좋아한다고 생각했어요.,"the majority, most",I thought most people naturally like the sea more.,大部分
오해,Noun,저의 오해였죠.,misunderstanding,It was my misunderstanding.,誤解
계절,Noun,계절에 따라 달라요.,season,It varies depending on the season.,季節
개인적으로,Adverb,저는 개인적으로 산을 별로 안 좋아해요.,personally,"Personally, I don't really like mountains.",個人的-
이유,Noun,이유가 있어요.,reason,There's a reason.,理由
흑역사,Noun,이건 약간 저의 흑역사예요.,embarrassing past (lit. 'black history'),This is kind of my embarrassing past.,黑歷史
반,Noun,반 친구들이랑 같이 산에 간 적이 있어요.,class,I've been to the mountain with my classmates before.,班
높다,Adjective,저는 솔직히 그 산이 그렇게 높은 줄 몰랐어요.,"to be high, tall","Honestly, I didn't know the mountain was that high.",
신다,Verb,높은 줄 모르고 신발을 그냥 아무거나 신었어요.,to wear (on feet),"Not knowing it was high, I just wore whatever shoes.",
아무거나,Pronoun,높은 줄 모르고 신발을 그냥 아무거나 신었어요.,"whatever, anything","Not knowing it was high, I just wore whatever shoes.",
비슷하다,Adjective,이 표현은 만만하게 보다랑 비슷해요.,to be similar,This expression is similar to '만만하게 보다'.,
수다 떨다,Verb,애들이랑 수다 떨면서 재밌게 올라갔어요.,"to chat, to gab",I chatted with my friends and had fun climbing up.,
드디어,Adverb,그리고 드디어 정상에 도착했어요.,finally,And finally I reached the summit.,
정상,Noun,그리고 드디어 정상에 도착했어요.,summit,And finally I reached the summit.,頂上
소리치다,Verb,정상에서 소리치면 메아리가 들려요.,to shout,"If you shout from the summit, you can hear an echo.",
메아리,Noun,메아리라고 해요.,echo,It's called an echo.,
들리다,Verb,정상에서 소리치면 메아리가 들려요.,to be heard,"If you shout from the summit, you can hear an echo.",
언어,Noun,여러분 언어로는 무슨 말을 해요?,language,What do you say in your language?,言語
아무튼,Adverb,아무튼 제가 흑역사 얘기하고 있었죠?,"anyway, in any case","Anyway, I was talking about my embarrassing past, right?",
오르다,Verb,주말 아침부터 북적북적 MZ들 줄 서서 산에 오르는... 이유가?,"to go up, to climb",...the reason MZ-generation people line up to climb the mountain?,
경사,Noun,산에 경사가 있어요.,slope,The mountain has a slope.,傾斜
땅,Noun,경사는 땅이 얼마나 기울어졌는지를 말해요.,"ground, land",Slope refers to how much the ground is tilted.,
기울다,Verb,경사는 땅이 얼마나 기울어졌는지를 말해요.,"to be tilted, inclined",Slope refers to how much the ground is tilted.,
가파르다,Adjective,이 경사가 심하다는 거예요.,to be steep,It means the slope is severe/steep.,
심하다,Adjective,이 경사가 심하다는 거예요.,"to be severe, extreme",It means the slope is severe.,甚-
미치다,Verb,신발을 제대로 안 신고 가다니 미친 거죠.,"to be crazy, insane",Going without wearing proper shoes -- that's crazy.,
제대로,Adverb,신발을 제대로 안 신고 가다니 미친 거죠.,properly,Going without wearing proper shoes -- that's crazy.,
-다니,Grammar,신발을 제대로 안 신고 가다니 미친 거죠.,the fact that... (expresses surprise/disbelief),"Going without proper shoes -- (I can't believe it), that's crazy.",Grammar pattern
만만하게 보다,Verb,제가 산을 너무 만만하게 본 것 같아요.,"to underestimate, to view as easy",I think I underestimated the mountain too much.,
어렵게 보다,Verb,(opposite of 만만하게 보다),"to overestimate, view as too hard",,
관대평가하다,Verb,친구니까 너무 관대평가하지 말고 솔직하게 말해 주세요.,"to evaluate generously, overestimate",Don't overestimate me just because we're friends -- please tell me honestly.,寬大評價-
과소평가하다,Verb,사람들이 제 실력을 과소평가하는 것 같아요.,to underestimate,I feel like people are underestimating my skills.,過小評價-
동네,Noun,제가 동네 산을 만만하게 생각한 벌을 받았어요.,neighborhood,I got punished for underestimating my neighborhood mountain.,
벌 받다,Verb,제가 동네 산을 만만하게 생각한 벌을 받았어요.,to be punished,I got punished for underestimating my neighborhood mountain.,罰-
넘어지다,Verb,저는 산에서 많이 넘어진 경험이 있잖아요.,"to fall, to trip",I have a lot of experience falling on mountains.,
웃기다,Verb,"저도 웃기고, 친구들도 웃고 그 상황이 너무 재밌었어요.",to be funny,"It was funny, my friends were laughing too, the situation was so fun.",
웃음,Noun,또 어렸을 때는 다들 웃음이 많잖아요.,"laughter, smile","Also, when you're young, everyone laughs a lot, right?",
상황,Noun,서로 이해를 못하는 상황?,situation,A situation where you can't understand each other?,狀況
-ㄹ수록,Grammar,사람이 나이가 들수록 사고를 조심해야 되잖아요.,"the more ~, the more ~","The older a person gets, the more careful they need to be about accidents.",Grammar pattern
분위기,Noun,그래서 분위기가... 점점 안 좋아지는 거예요.,"atmosphere, mood",So the mood... gradually got worse.,雰圍氣
무엇보다도,Adverb,무엇보다도 저희 선생님이 걱정을 엄청 많이 하셨어요.,most of all,"Most of all, our teacher worried a lot.",
이끌다,Verb,"하나의 반을 이끄는 선생님이 있는데, 그분을 담임선생님이라고 불러요.",to lead,"There's a teacher who leads a class, and we call them the homeroom teacher.",
담임선생님,Noun,"하나의 반을 이끄는 선생님이 있는데, 그분을 담임선생님이라고 불러요.",homeroom teacher,"There's a teacher who leads a class, and we call them the homeroom teacher.",擔任-
담임쌤,Noun,(casual form of 담임선생님),homeroom teacher (casual),,擔任 + slang
책임지다,Verb,제가 이 프로젝트를 끝까지 책임질게요.,to take responsibility,I'll take responsibility for this project until the end.,責任-
부축하다,Verb,부축하다는 말은 옆에서 도와주면서 같이 걷는다는 뜻이에요.,"to support (physically, e.g. helping someone walk)",'부축하다' means to help someone by supporting them while walking together.,
불편하다,Adjective,특히 다리! 다리가 불편할 때 이 말을 많이 써요.,to be uncomfortable,Especially legs! This phrase is used a lot when your legs are uncomfortable.,不便-
다리,Noun,특히 다리! 다리가 불편할 때 이 말을 많이 써요.,leg,Especially legs! This phrase is used a lot when your legs are uncomfortable.,
기대다,Verb,"그래서 산을 다 내려갈 때까지, 그 친구한테 거의 기대서 내려왔어요.",to lean on someone,"So until I got all the way down the mountain, I leaned on my friend almost the whole way down.",
민망하다,Adjective,사람들 앞에서 넘어져서 너무 민망했어요.,to be embarrassed,I was so embarrassed because I fell in front of people.,
학창시절,Noun,아무튼 이렇게 학창 시절에 좀 안 좋은 기억이 있어서 산을 별로 안 좋아해요.,school days,"Anyway, I have some bad memories from my school days like this, so I don't really like mountains.",學窓時節
등산객,Noun,근데 한국 등산객들의 특징이 있대요.,"hikers, mountain climbers",There's apparently a characteristic of Korean hikers.,登山客
특징,Noun,근데 한국 등산객들의 특징이 있대요.,"characteristic, trait",There's apparently a characteristic of Korean hikers.,特徵
어르신들,Noun,등산할 때 한국 사람들의 특징이... 일단 어르신들이 많다는 거예요.,elders,"A characteristic of Koreans when hiking is that... first, there are a lot of elders.",
옷차림,Noun,그리고 그분들의 옷차림!,"attire, outfit",And their outfits!,
신기하다,Adjective,옷을 어떻게 입는지 그런 스타일이 되게 신기하다고 해요.,"to be curious, fascinating (novel)",They apparently find the way Koreans dress really fascinating.,
입다,Verb,옷을 어떻게 입는지 그런 스타일이 되게 신기하다고 해요.,to wear,They find the way people wear their clothes really fascinating.,
-ㄴ대요,Grammar,"저는 이런 걸 항상 보니까 익숙한데, 외국인들이 볼 때는 되게 신기하다고 느낀대요.","hearsay ending, 'I heard that...'","Since I always see this, it's familiar to me, but apparently foreigners find it fascinating.",Grammar pattern
화려하다,Adjective,"되게 화려한 색들의 옷들, 가방, 등산 장비들.","to be colorful, flashy","Really colorful clothes, bags, hiking gear.",華麗-
색,Noun,"되게 화려한 색들의 옷들, 가방, 등산 장비들.",color,"Really colorful clothes, bags, hiking gear.",色
장비,Noun,"되게 화려한 색들의 옷들, 가방, 등산 장비들.","equipment, gear","Really colorful clothes, bags, hiking gear.",裝備
엄청,Adverb,무엇보다도 저희 선생님이 걱정을 엄청 많이 하셨어요.,"a lot, very","Most of all, our teacher worried a lot.",
경험,Noun,저는 산에서 많이 넘어진 경험이 있잖아요.,experience,I have a lot of experience falling on mountains.,經驗
사고,Noun,사람이 나이가 들수록 사고를 조심해야 되잖아요.,accident,"The older a person gets, the more careful they need to be about accidents.",事故
완전히,Adverb,저는 완전히 이해가 가요.,completely,I completely understand.,完全-
조심하다,Verb,사람이 나이가 들수록 사고를 조심해야 되잖아요.,to be careful,"The older a person gets, the more careful they need to be about accidents.",操心-
반바지,Noun,"그냥 나시 하나 입고, 반바지 입고...",shorts,Just wearing a tank top and shorts...,半-
나시,Noun,"그냥 나시 하나 입고, 반바지 입고...","sleeveless shirt, tank top",Just wearing a tank top and shorts...,(from Japanese)
마주치다,Verb,등산하다가 우연히 옛날 친구를 마주쳤어요.,"to run into (someone), to encounter","While hiking, I happened to run into an old friend.",
서로 이해는 못하는 상황,Phrase,서로 이해를 못하는 상황?,a situation where you can't understand each other,A situation where you can't understand each other?,
아까,Adverb,"아까 말했듯이, 저는 매운 음식을 잘 못 먹어요.","a moment ago, earlier","As I said earlier, I can't really eat spicy food.",
-듯이,Grammar,"아까 말했듯이, 저는 매운 음식을 잘 못 먹어요.",just as ~,"As I said earlier, I can't really eat spicy food.",Grammar pattern
특별하다,Adjective,이 장소는 저한테 특별한 의미가 있어요.,to be special,This place has a special meaning to me.,特別-
트레킹,Noun,어 근데 여러분 저는 트레킹을 좋아해요!,trekking,"But you guys, I like trekking!",(English loanword)
산길,Noun,트레킹은 꼭 산 정상에 갈 필요는 없고 약간 산길! 산길을 걷는 느낌이잖아요.,mountain trail,"Trekking doesn't necessarily mean going to the summit, it's more the feeling of walking a mountain trail.",
풍경,Noun,그 길을 걸으면서 주변에 있는 풍경을 보는 게 좋아요.,scenery,I like walking that path and looking at the scenery around me.,風景
완벽하다,Adjective,"날씨도 완벽하고, 바다에서 들리는 파도 소리.",to be perfect,"The weather was perfect too, and the sound of waves from the sea.",完璧-
파도,Noun,바다에서 막 세게 치는 그런 파도 말고 가벼운 느낌!,wave,"Not the kind of waves that crash hard in the ocean, but a light feeling!",
해수욕,Noun,저희가 해수욕을 할 때 바다를 가까이서 봐요.,swimming in the sea,"When we go sea-bathing, we see the ocean up close.",海水浴
가까이,Adverb,저희가 해수욕을 할 때 바다를 가까이서 봐요.,"closely, nearby","When we go sea-bathing, we see the ocean up close.",
매력,Noun,근데 트레킹을 할 때는 바다를 위에서 보니까 다른 매력이 있었어요.,charm,"But when trekking, seeing the sea from above has a different charm.",魅力
만약에,Adverb,제가 만약에 사진을 찾으면 여기에 올릴게요.,if,"If I find the photo, I'll post it here.",萬若-
