Korean,Part of Speech,Example Sentence,English,Sentence Translation,Etymology
덥다,Adjective,여름이라서 너무 덥죠?,to be hot (weather),"It's summer so it's really hot, right?","Native Korean; cognates: 더워요 (conjugated), 더위 (noun, 'heat')"
얼마 전에,Adverb,얼마 전에 저희 엄마가 저한테 문자를 보냈어요.,"the other day, a while ago","The other day, my mom sent me a text.","Native Korean; 얼마 (how much/some amount) + 전(前, before) + 에 (particle)"
문자 보내다,Verb phrase,얼마 전에 저희 엄마가 저한테 문자를 보냈어요.,to send a text message,"The other day, my mom sent me a text.","文字 (문자, text/character) + 보내다 (native, 'to send')"
낫다,Verb,감기는 나았나?,"to get better, to recover (from illness)",Has your cold gotten better?,Native Korean; ㅅ-irregular verb (나아요/나았어요); note: the auto-subtitle mistyped this as '나왔나' but the audio says '나았나'
옥수수,Noun,여기에 옥수수가 있어요.,corn,There's corn here.,"Native Korean compound; origin debated (possibly related to 玉蜀黍), written purely in hangul today"
다녀오다,Verb,어디 다녀왔어?,to go somewhere and come back,Where did you go (and come back from)?,Native compound: 다니다 (to go regularly/attend) + 오다 (to come)
지역,Noun,대구는 한국의 지역 이름이에요.,"region, area",Daegu is the name of a region in Korea.,"地 (지, land) + 域 (역, area)"
운전하다,Verb,서울에서는 차로 운전하면 한 3-4시간 걸려요.,to drive,"If you drive from Seoul, it takes about 3-4 hours.","運 (운, to move/carry) + 轉 (전, to turn)"
떠오르다,Verb,저는 항상 대구 하면 바로 더운 날씨가 떠올라요.,to come to mind,"Whenever I think of Daegu, hot weather immediately comes to mind.",Native; 뜨다 (to float/rise) + 오르다 (to rise/go up)
별명,Noun,대구 별명이 뭔지 알아요?,nickname,Do you know what Daegu's nickname is?,"別 (별, separate/other) + 名 (명, name)"
대프리카,Proper noun (slang),대구랑 아프리카를 합쳐서 대프리카라고 해요.,"Daeprica (Daegu + Africa, nickname for Daegu's extreme heat)","Combining Daegu and Africa, it's called 'Daeprica.'",Portmanteau of 대구 (Daegu) + 아프리카 (Africa); no hanja
아프리카,Proper noun,대구랑 아프리카를 합쳐서 대프리카라고 해요.,Africa,"Combining Daegu and Africa, it's called 'Daeprica.'",Loanword from English 'Africa'
합치다,Verb,대구랑 아프리카를 합쳐서 대프리카라고 해요.,"to combine, to merge","Combining Daegu and Africa, it's called 'Daeprica.'","Native Korean; cognates: 합하다 (to unite), 합쳐지다 (to be combined)"
지도,Noun,한국 지도를 보면 여기에 대구가 있어요.,map,"If you look at a map of Korea, Daegu is here.","地 (지, land) + 圖 (도, chart/drawing)"
떨어지다,Verb,바다에서 떨어진 곳에 있어요.,"to be apart/far from, to fall",It's located in a place far away from the sea.,Native Korean; cognates: 떨어뜨리다 (to drop something)
내륙,Noun,이런 걸 내륙이라고 해요.,inland,This kind of place is called 'inland.',"內 (내, inside) + 陸 (륙, land)"
겨울,Noun,"이런 곳은 여름에는 덥고, 겨울에는 추운 날씨가 되기 쉬워요.",winter,Places like this tend to be hot in summer and cold in winter.,"Native Korean, no hanja; cognates: 겨울철 (wintertime), 겨울잠 (hibernation)"
월 말,Noun phrase (pattern),"이제 벌써 8월 말이네요, 여러분.",end of [month],"It's already the end of August, everyone.","月 (월, month) + 末 (말, end); pattern: [number]월 말"
확실히,Adverb,확실히 7월 말보다는 덜 더운 거 같아요.,"definitely, certainly",It's definitely less hot than the end of July.,"確 (확, certain) + 實 (실, true/real) + 히 (adverbial suffix)"
한여름,Noun,7월 말이 한여름이죠.,"midsummer, the height of summer","The end of July is midsummer, right.","Native; 한- (intensifying prefix, 'peak/full') + 여름 (summer)"
제대로,Adverb,오늘은 좀 더 여름 얘기를 제대로 해볼 거예요.,"properly, correctly",Today I'll properly talk about summer.,"Native; 제 (one's own) + 대로 (as, according to)"
계절,Noun,제가 계절마다 팟캐스트를 만들고 싶었어요.,season,I wanted to make a podcast for each season.,"季 (계, season) + 節 (절, section/period)"
벚꽃,Noun,"그때 꽃 얘기, 벚꽃 얘기 많이 했었어요.",cherry blossom,"I talked a lot about flowers, cherry blossoms, back then.",Native; 벚 (cherry tree) + 꽃 (flower)
저번,Noun,저번에는 봄에 대한 팟캐스트를 만들었어요.,last time,"Last time, I made a podcast about spring.","Native; 저 (that) + 番 (번, time/occurrence)"
여전히,Adverb,저번 달에도 더웠고 지금도 여전히 더워요.,"still, as before","It was hot last month too, and it's still hot now.","如 (여, like) + 前 (전, before) + 히 (adverbial suffix)"
강조하다,Verb,이렇게 좋은 말 뒤에도 '죽겠다'는 말을 써서 강조를 많이 해요.,to emphasize,"Even after nice words, people use '죽겠다' a lot to emphasize.","強 (강, strong) + 調 (조, to tune/adjust)"
비슷하다,Adjective,이건 여러분 언어에서도 비슷할 것 같아요.,to be similar,I think it's probably similar in your language too.,Native Korean
원어민,Noun,자 그럼 여기서 이제 더 원어민 같은 표현!,native speaker,"So now, here's an even more native-speaker-like expression!","原 (원, original) + 語 (어, language) + 民 (민, people)"
죽겠다,Idiom,"더워 죽겠다, 더워 죽겠어요.","dying (of), extremely -- intensifier after an adjective",I'm so hot I could die.,"Native; 죽다 (to die) + -겠- (presumptive); attaches after adjectives (피곤해 죽겠다, 배고파 죽겠다) for emphasis"
찌다,Verb,원래 '찌다' '쪄요' 이 말은 요리할 때 많이 쓰는 말이에요.,to steam (food),"Originally, '찌다/쪄요' is a word often used when cooking.","Native Korean; conjugated 쪄요; derivations: 찜 (steamed dish), 찜통 (steamer pot)"
만두,Noun,만두를 쪄요.,dumpling,I steam dumplings.,"饅 (만, steamed bun) + 頭 (두, head) -- Sino-Korean loan from Chinese 饅頭"
고구마,Noun,고구마를 쪄요.,sweet potato,I steam sweet potatoes.,"Native Korean, no standard hanja (possible old Japanese loan, disputed)"
냄비,Noun,냄비에 넣고 뜨거운 공기로 요리하잖아요.,pot,"You put it in a pot and cook it with hot air, right?","Native Korean (historically a loan from Japanese 鍋, nabe)"
넣다,Verb,냄비에 넣고 뜨거운 공기로 요리하잖아요.,"to put in, to insert","You put it in a pot and cook it with hot air, right?",Native Korean
뜨겁다,Adjective,냄비에 넣고 뜨거운 공기로 요리하잖아요.,to be hot (to the touch/food),"You put it in a pot and cook it with hot air, right?","Native Korean; distinct from 덥다, used for hot objects/food rather than ambient weather"
마치,Adverb,너무 더워서 마치 저희가 이 냄비 안에 있는 것 같다고 해서 이 '찌다'는 표현을 가져온 거예요.,"as if, just like","Because it's so hot it's as if we're inside this pot, that's why the expression '찌다' was borrowed.","Native Korean adverb, used with -는 것 같다 to mean 'as if X'"
가져오다,Verb,너무 더워서 마치 저희가 이 냄비 안에 있는 것 같다고 해서 이 '찌다'는 표현을 가져온 거예요.,"to bring, to borrow (an expression/idea)",...that's why the expression '찌다' was borrowed.,Native compound: 가지다 (to have/hold) + 오다 (to come)
참고로,Adverb,참고로 이런 요리를 '찜 요리'라고 해요.,"by the way, for reference, FYI","By the way, dishes like this are called 'jjim-yori.'","參 (참, to refer) + 考 (고, to consider) + 로 (particle)"
찜 요리,Noun,참고로 이런 요리를 '찜 요리'라고 해요.,steamed dish,"By the way, dishes like this are called 'steamed dish.'","Native 찜 (steamed dish, from 찌다) + 料理 (요리, cooking/dish)"
계란찜,Noun,제가 제일 좋아하는 찜 요리가 계란찜이에요.,steamed eggs,My favorite steamed dish is steamed eggs.,"鷄 (계, chicken) + 卵 (란, egg) + 찜 (steamed dish)"
고기찜,Noun,고기를 찌면 고기 찜!,steamed meat,"If you steam meat, it's steamed meat!",Native 고기 (meat) + 찜 (steamed dish)
생선찜,Noun,생선을 찌면 생선찜이 되는 거예요.,steamed fish,"If you steam fish, it becomes steamed fish.","生鮮 (생선, fresh fish) + 찜 (steamed dish)"
찜통더위,Noun,"그 통 안에 있는 것처럼 너무 덥다고 해서, '찜통더위'라고 해요.",sweltering heat (lit. 'steamer-pot heat'),"Because it feels like being inside that container, it's so hot, it's called 'steamer-pot heat.'","찜통 (steamer pot, native 찜+통) + 더위 (heat, native)"
통,Noun,"'찜통'은 요리할 때 음식을 찌는 통, 컨테이너를 말해요.","container, bin",'Jjimtong' refers to the container used to steam food when cooking.,"Native Korean, general word for 'container/bin/barrel'"
더위,Noun,더위를 더위로 이긴다는 뜻이에요.,heat,It means overcoming heat with heat.,Native Korean; noun form of 덥다 (to be hot)
제격,Noun,제격은 딱 좋다는 뜻이에요.,"just right, well-suited",'Jegyeok' means something is exactly fitting.,"題/諸 + 格 (격, standard/status) -- used to mean something perfectly suits one's standing"
빙수,Noun,아이스크림? 빙수? 냉면?,bingsu (Korean shaved ice dessert),Ice cream? Bingsu? Naengmyeon?,"氷 (빙, ice) + 水 (수, water)"
시원하다,Adjective,아 시원하다!,"refreshing, cool","Ah, refreshing!",Native Korean; used for both literal coolness (temperature) and figurative relief/refreshment
대표적이다,Adjective,가장 대표적인 음식이 닭이에요.,"to be representative, typical",The most representative food is chicken.,"代 (대, to represent) + 表 (표, to show) + 的 (적, adjectival suffix)"
닭,Noun,사실 한국에서는 여름 하면 생각나는 가장 대표적인 음식이 닭이에요.,chicken,"In fact, in Korea, the most representative food that comes to mind for summer is chicken.","Native Korean, no hanja; note: 닭이에요 is colloquially pronounced 다기에요, dropping the prescriptive ㄹ of 달기에요"
고민,Noun,여러분 근데 갑자기 저 사실 고민이 있어요.,"concern, worry","But suddenly, I actually have a concern.","苦 (고, suffering) + 悶 (민, to be troubled)"
발음하다,Verb,아나운서들은 TV에서 규칙에 따라 발음해야 돼요.,to pronounce,Announcers have to pronounce according to the rules on TV.,"發 (발, to emit) + 音 (음, sound) + 하다"
발음 규칙,Noun phrase,발음 규칙에 따라서 '달기에요'라고 해야 돼요.,pronunciation rule,"According to pronunciation rules, you're supposed to say '달기에요.'","發音 (발음, pronunciation) + 規則 (규칙, rule)"
방송,Noun,"방송, 아나운서들은 TV에서 규칙에 따라 발음해야 돼요.",broadcast,"On broadcasts, announcers have to pronounce according to the rules on TV.","放 (방, to release/broadcast) + 送 (송, to send)"
지키다,Verb,일상생활에서는 이런 규칙을 안 지킬 때가 많아요.,"to observe/follow (a rule), to keep, to protect","In daily life, people often don't follow these rules.",Native Korean
찍다,Verb,제가 사실 팟캐스트를 찍으면서 이런 순간들이 진짜 많았어요.,"to film, to record, to shoot (photo/video)","Actually, while filming the podcast, I've had many moments like this.",Native Korean
겹받침,Noun,이 기역 받침이 뒤로 연결돼서 '달기에요'가 돼요.,double final consonant (in hangul spelling),"This 기역(ㄱ) batchim connects to the next syllable, becoming '달기에요.'","Native grammatical term: 겹 (overlapping) + 받침 (batchim, final consonant)"
순간,Noun,제가 사실 팟캐스트를 찍으면서 이런 순간들이 진짜 많았어요.,"moment, instant","Actually, while filming the podcast, I've had many moments like this.","瞬 (순, blink) + 間 (간, interval)"
최대한,Adverb,그래서 최대한 두 발음 다 알려주려고 해요.,"as much as possible, to the fullest extent",So I'll try to teach both pronunciations as much as possible.,"最 (최, most) + 大 (대, big) + 限 (한, limit)"
댓글,Noun,영상에서 이렇게 알려주거나 아니면 댓글로 남길게요.,comment (online),"I'll let you know in the video, or leave it in the comments.","Native compound: 대 (from 대답, reply) + 글 (writing)"
고민 상담,Noun phrase,닭 때문에 저의 고민 상담까지 했네요.,consultation about a worry/concern,"Because of chicken, I even ended up consulting you about my worries.","苦悶 (고민, concern) + 相談 (상담, consultation)"
삼복,Noun,삼복은 한국에서 여름 중에 가장 더운 3일을 말해요.,Sambok (the three hottest days of Korean summer),Sambok refers to the three hottest days of summer in Korea.,"三 (삼, three) + 伏 (복, to lie prostrate -- the 'dog days')"
네이버,Proper noun,"근데 네이버 들어가면, 가끔씩 이 삼복이 떠요.",Naver (Korea's largest search portal),"But if you go on Naver, this Sambok pops up sometimes.","Company name, from English 'navigate' + '-er'"
뜨다,Verb,"근데 네이버 들어가면, 가끔씩 이 삼복이 떠요.","to float, to appear/pop up (on screen)","But if you go on Naver, this Sambok pops up sometimes.","Native Korean; also means 'to rise' (해가 뜨다, the sun rises)"
초복,Noun,첫 번째 날은 초복이에요.,Chobok (first of the three hottest days),The first day is Chobok.,"初 (초, first) + 伏 (복, see 삼복)"
중복,Noun,두 번째 날은 중복이에요.,Jungbok (middle of the three hottest days),The second day is Jungbok.,"中 (중, middle, same as in 중학교) + 伏 (복)"
말복,Noun,세 번째 날은 말복이에요.,Malbok (last of the three hottest days),The third day is Malbok.,"末 (말, end/last) + 伏 (복)"
시기,Noun,그래서 한국에서는 이 시기를 여름에 가장 힘든 시기라고 생각했어요.,"period, time frame","So in Korea, this period was thought of as the hardest period of summer.","時 (시, time) + 期 (기, period)"
보호하다,Verb,그래서 몸을 보호하려고 건강한 음식을 먹어요.,to protect,"So, to protect the body, people eat healthy food.","保 (보, to protect) + 護 (호, to guard)"
삼계탕,Noun,특히 가장 많이 먹는 닭 요리는 삼계탕이에요.,samgyetang (ginseng chicken soup),The chicken dish eaten the most is samgyetang.,"蔘 (삼, ginseng) + 鷄 (계, chicken) + 湯 (탕, soup)"
인삼,Noun,삼계탕의 삼은 인삼을 말해요.,ginseng,The '삼' in samgyetang refers to ginseng.,"人 (인, person) + 蔘 (삼, ginseng)"
탕,Noun,"탕, 탕은 국물 요리를 말해요.","soup, broth dish",Tang refers to soup/broth dishes.,"湯 (탕, soup/hot water)"
국물,Noun,"탕, 탕은 국물 요리를 말해요.","soup, broth",Tang refers to soup/broth dishes.,Native; 국 (soup) + 물 (water)
찹쌀,Noun,"찹쌀, 마늘, 대추, 인삼 같은 걸 넣고 푹 끓인 음식이에요.",sticky/glutinous rice,"It's made by putting in sticky rice, garlic, jujube, ginseng, and simmering thoroughly.","Native; 찰- (sticky, prefix) + 쌀 (rice)"
대추,Noun,"찹쌀, 마늘, 대추, 인삼 같은 걸 넣고 푹 끓인 음식이에요.",jujube (Korean red date),"It's made by putting in sticky rice, garlic, jujube, ginseng, and simmering thoroughly.",Native Korean; Italian cognate: giuggiola
푹,Adverb,"찹쌀, 마늘, 대추, 인삼 같은 걸 넣고 푹 끓인 음식이에요.","thoroughly, deeply (of cooking/sleep)",...simmering thoroughly.,Native Korean adverb
끓이다,Verb,"찹쌀, 마늘, 대추, 인삼 같은 걸 넣고 푹 끓인 음식이에요.","to boil, to simmer",...simmering thoroughly.,Native Korean
가뜩이나,Adverb,가뜩이나 여름이라 엄청 더운데 왜 뜨거운 걸 먹을까요?,"even as it is, already (on top of an existing situation)","Even though it's already crazy hot because of summer, why eat something hot?",Native Korean adverb
이기다,Verb,더위를 더위로 이긴다는 뜻이에요.,"to win, to defeat",It means overcoming (defeating) heat with heat.,Native Korean
오히려,Adverb,더울 때 오히려 더 뜨거운 음식을 먹으면서 더위를 이겨내자는 뜻이에요.,"rather, on the contrary","It means that when it's hot, you rather eat even hotter food to overcome the heat.",Native Korean adverb
이겨내다,Verb,더울 때 오히려 더 뜨거운 음식을 먹으면서 더위를 이겨내자는 뜻이에요.,"to overcome, to get through",...you eat even hotter food to overcome the heat.,Native; 이기다 (to win) + 내다 (auxiliary verb marking completion/overcoming)
차갑다,Adjective,원래 한국어로 시원하다는 말은 온도가 차가울 때 쓰는데.,to be cold (to the touch),"Originally in Korean, '시원하다' is used when the temperature is cold.",Native Korean
온도,Noun,원래 한국어로 시원하다는 말은 온도가 차가울 때 쓰는데.,temperature,"Originally, '시원하다' is used when the temperature is cold.","溫 (온, warm) + 度 (도, degree)"
