Korean,Part of Speech,Example Sentence,English,Sentence Translation,Etymology
-을지 모르다,Grammar,내일 비가 올지 모르겠어요.,not sure if / might (uncertainty about a fact),I'm not sure if it will rain tomorrow.,Verb/Adj stem + -(으)ㄹ지 모르다: expresses uncertainty about something. Attaches directly to the plain stem; usually paired with 모르겠다 rather than 몰라요.
-을지 모르다,Grammar,그 사람이 올지 모르겠어요.,not sure if / might (uncertainty about a fact),I don't know if that person will come.,Verb/Adj stem + -(으)ㄹ지 모르다: expresses uncertainty about something. Attaches directly to the plain stem; usually paired with 모르겠다 rather than 몰라요.
-을지 모르다,Grammar,이 음식이 매울지 모르겠어요.,not sure if / might (uncertainty about a fact),I'm not sure if this food will be spicy.,Verb/Adj stem + -(으)ㄹ지 모르다: expresses uncertainty about something. Attaches directly to the plain stem; usually paired with 모르겠다 rather than 몰라요.
-을지 모르다,Grammar,시험에 붙을지 모르겠어요.,not sure if / might (uncertainty about a fact),I don't know if I'll pass the exam.,Verb/Adj stem + -(으)ㄹ지 모르다: expresses uncertainty about something. Attaches directly to the plain stem; usually paired with 모르겠다 rather than 몰라요.
-을지 모르다,Grammar,이 길이 맞을지 모르겠어요.,not sure if / might (uncertainty about a fact),I'm not sure if this is the right way.,Verb/Adj stem + -(으)ㄹ지 모르다: expresses uncertainty about something. Attaches directly to the plain stem; usually paired with 모르겠다 rather than 몰라요.
-대요,Grammar,내일부터 세일한대요.,I heard that... (reported speech),I heard the sale starts tomorrow.,Contraction of -다고 해요: reports someone else's statement second-hand. For action verbs use -ㄴ/는다고 해요 → -ㄴ/는대요; for descriptive verbs/adjectives use -다고 해요 → -대요.
-대요,Grammar,이 식당 음식이 맛있대요.,I heard that... (reported speech),I heard the food at this restaurant is delicious.,Contraction of -다고 해요: reports someone else's statement second-hand. For action verbs use -ㄴ/는다고 해요 → -ㄴ/는대요; for descriptive verbs/adjectives use -다고 해요 → -대요.
-대요,Grammar,어제 눈이 많이 왔대요.,I heard that... (reported speech),I heard it snowed a lot yesterday.,Contraction of -다고 해요: reports someone else's statement second-hand. For action verbs use -ㄴ/는다고 해요 → -ㄴ/는대요; for descriptive verbs/adjectives use -다고 해요 → -대요.
-대요,Grammar,그 영화가 진짜 슬프대요.,I heard that... (reported speech),I heard that movie is really sad.,Contraction of -다고 해요: reports someone else's statement second-hand. For action verbs use -ㄴ/는다고 해요 → -ㄴ/는대요; for descriptive verbs/adjectives use -다고 해요 → -대요.
-대요,Grammar,다음 주에 이사한대요.,I heard that... (reported speech),I heard they're moving next week.,Contraction of -다고 해요: reports someone else's statement second-hand. For action verbs use -ㄴ/는다고 해요 → -ㄴ/는대요; for descriptive verbs/adjectives use -다고 해요 → -대요.
