Korean,Part of Speech,Example Sentence,English,Sentence Translation,Etymology
빼곡하다,Adjective,새해가 되기 전에 목표를 막 빼곡하게 적는 스타일이었어요.,"to be packed, crammed full",I used to be the type to cram my goals in tightly before the new year started.,Native Korean
깨닫다,Verb,아기를 낳고 나서 깨달았죠.,"to realize (ㄷ-irregular: 깨달아요, 깨달았어요)",I realized it after having my baby.,Native Korean
포기하다,Verb,"포기한 거예요, 벌써?",to give up,Did you already give up?,Sino-Korean 抛棄(abandon)
내려놓다,Verb,마음을 내려놓고 나니까 마음이 편안해졌어요.,"to put down, let go of","Once I let go of it mentally, I felt at ease.","Native Korean, 내리다(lower)+놓다(place)"
편안하다,Adjective,마음이 편안해졌어요.,"to be comfortable, at ease",I felt at ease.,Sino-Korean 便安(comfortable and safe)
나열하다,Verb,가볍게 나열하면?,"to list, enumerate",What if you just list them lightly?,Sino-Korean 羅列(arrange in a row)
해치다,Verb,건강을 많이 해칠 정도로 마시는 수준은 아니에요.,"to harm, damage",I don't drink to the extent that it harms my health.,Native Korean
수준,Noun,그렇게 마시는 수준은 아니라고 생각하고 있어요.,level,I don't think I'm at that level of drinking.,Sino-Korean 水準(water level/standard)
모시다,Verb,부모님 두 분만 모시고 여행을 갔었는데.,"to accompany, attend to (a senior; honorific)",I went on a trip accompanying just my two parents.,Native Korean
무릎,Noun,무릎이 아프셔서 많이 안 걸어도 되는 곳들밖에 없어요.,knee,"Because her knees hurt, there are only places where you don't have to walk much.",Native Korean
반응,Noun,아직 반응이 없어서 지금 고민하고 있어요.,"reaction, response",There's been no response yet so I'm still thinking it over.,Sino-Korean 反應(response)
환갑,Noun,부모님 환갑 때 해외여행을 갔어요.,60th birthday (traditional milestone),We went on an overseas trip for my parents' 60th birthdays.,Sino-Korean 還甲(return of the cycle)
칠순,Noun,아빠 칠순이 2년 연속으로 있었어요.,70th birthday,My dad's 70th birthday came up two years in a row (along with mom's 60th).,Sino-Korean 七旬(seventy)
자기네,Pronoun,자기네들끼리 가냐?,"themselves, that bunch (of them)",Are you guys going just among yourselves?,Native Korean
아무래도,Adverb,우리가 아무래도 일상 속에서는 작은 것들을 그냥 오늘 하면 되는 거니까.,"no matter how you look at it, anyway","I mean, in daily life, we can just do the small things today.",Native Korean
일상,Noun,우리가 아무래도 일상 속에서는 작은 것들을 그냥 오늘 하면 되는 거니까.,daily life,In daily life we can just do the small things today.,Sino-Korean 日常(everyday)
경우,Noun,여행 같은 경우에는 계획도 오래 세워야 되고 해서.,"case, situation","In the case of travel, you also have to plan far ahead.",Sino-Korean 境遇(circumstance)
떠오르다,Verb,가장 먼저 떠오르는 거 같고.,"to come to mind, occur to one",It seems like it's the first thing that comes to mind.,Native Korean
약간,Adverb,약간 그렇게 건강을 많이 해칠 정도로 마시는 수준은 아니에요.,"a little, kind of (also used as a filler hedge)",It's kind of not to the level of really damaging my health.,Native Korean
일단,Adverb,일단은 그래도 가 보고 싶은 곳이 있는데.,"for now, first of all","For now, there's still a place I want to try going to.",Sino-Korean 一旦(once/for the moment)
낳다,Verb,아기를 낳고 나서 깨달았죠.,to give birth,I realized it after having my baby.,Native Korean
체크하다,Verb,한 것과 못 한 것을 체크를 하면서 스트레스를 받았거든요.,"to check (off), verify",I got stressed checking off what I did and didn't do.,Loanword 체크(check)+하다
연말,Noun,그거를 연말이 돼서 체크를 하면서.,"year-end, end of the year",Checking it once it became year-end.,Sino-Korean 年末(year-end)
고르다,Verb,한 가지만 골라야 돼요.,"to choose, pick (르-irregular: 골라요, 골랐어요)",I have to choose just one.,Native Korean
별로,Adverb,별로 없어요.,"not really, not particularly (used with negatives)",There isn't really one.,Native Korean
평생,Noun,평생 해야 되는 것들이 너무 많아서.,"one's whole life, lifetime",There are too many things I have to do for my whole life.,Sino-Korean 平生(whole life)
도전,Noun,어떤 새로운 도전 같은 거는 올해는 아직은 없어요?,challenge,Isn't there some kind of new challenge for this year yet?,Sino-Korean 挑戰(challenge)
이것저것,Pronoun,저도 이것저것 하고 싶은 것들이 많이 있는데.,"this and that, various things",I also have lots of various things I want to do.,"Native Korean, 이것(this)+저것(that)"
실제로,Adverb,실제로 당연히 하게 될 일은 다시 한번 부모님 모시고 여행 가는 거예요.,"actually, in reality",The thing I'll actually definitely end up doing is taking my parents on a trip again.,Sino-Korean 實際(actual)+로
