Korean,English,Etymology,Part of Speech,Example Sentence,Sentence Translation
기억이 나다,"to remember, for a memory to come to you",기억 (memory) + 이 (subject marker) + 나다 (to arise),Phrase,불행한 건가요? 기억이 나네요.,Is that unfortunate? I remember it.
그런 쪽으로,"in that regard, in that way/sense",그런 (that kind of) + 쪽 (side/direction) + 으로 (particle),Phrase,"제가 너무 자주 그렇게 물어보니까 좀 무시하는 거 같아요, 그런 쪽으로.","I ask so often that she seems to kind of ignore me, in that regard."
갖다 두다,to bring (something) and set it down,"갖다 (← 가지다, bring/have) + 두다 (place, leave)",Phrase,컵을 정수기 갖다 두고 그걸 탁 누르고 제가 다른 일을 해도,"I put a cup by the water purifier, press it firmly, and even if I do something else..."
말을 걸다,"to speak to someone, strike up a conversation",말 (words/speech) + 을 (object marker) + 걸다 (to hang/hook onto),Phrase,제가 말 걸었을 때 깜짝 놀란 적 한두 번이 아니죠?,"There were plenty of times you were startled when I spoke to you, right?"
놓고 가다,to leave something behind and go,놓다 (put down) + -고 (and) + 가다 (go),Phrase,가끔씩 사무실에 뭘 놓고 갈 데가 있겠죠?,"Sometimes there'll probably be things I leave behind at the office, right?"
두고 가다,to leave something behind and go (with 두다 instead of 놓다),두다 (place/leave) + -고 (and) + 가다 (go),Phrase,그렇죠. 가방을 두고 갔죠?,"Right. I left a bag behind, didn't I?"
놓고 오다,to leave something behind and come away,놓다 (put down) + -고 (and) + 오다 (come),Phrase,그냥 건망증으로 놓고 온 건데 좀 이상했어요.,"It was just because of forgetfulness that I left it there, but it felt a bit strange."
세뇌를 시키다,to brainwash someone,"세뇌 (brainwashing) + 를 (object marker) + 시키다 (causative, 'make happen')",Phrase,생일을 그럼 10년 동안 세뇌를 시켰는데 어떻게 잊어버리겠어요.,"You've brainwashed me about my birthday for 10 years, how could I forget it?"
보험을 들다,to take out/get insurance,"보험 (insurance) + 을 (object marker) + 들다 ('to enter into,' a different sense from 'lift/carry')",Phrase,치매 보험을 들어 놔야 되나?,"Should I take out dementia insurance, I wonder?"
데려다주다,to take/drop someone off somewhere,데리다 (to bring/take a person along) + -어다 + 주다 (do for someone),Phrase,제가 유치원에 아이를 데려다주는데,I drop my kid off at kindergarten
같은 거,"something like..., ...or things like that","같다 (to be alike) + -은 (modifier) + 거 (것, 'thing')",Phrase,컴퓨터랑 케이블 같은 거 들어 있는 가방을 항상 습관적으로 메다 보니까.,Since I habitually always carry a bag with things like a computer and cables in it...
힘을 내다,"to muster energy, cheer up",힘 (strength) + 을 (object marker) + 내다 (to bring out/produce),Phrase,한번 울고 나면 다음에 더 힘을 낼 수 있어요.,After a good cry you can muster more energy next time.
