Korean,Part of Speech,Frequency,Example Sentence,English,Sentence Translation
도깨비,Noun,23,도깨비가 된단다,,
신부,Noun,18,오직 도깨비 신부만이,,
삼촌,Noun,17,나는 그대의 삼촌이었다가 형제였다가,,
나리,Noun,16,나리,,
진짜,Adverb,16,진짜로요?,,
근데,Adverb,13,근데 그 얘기 너무 슬프다,,
장군,Noun,13,김신 장군 만세!,,
귀신,Noun,13,"아, 미쳤냐? 내가 왜? 쟤 귀신 본다고",,
대체,Adverb,11,당신 대체 누구야?,,
살리다,Verb,11,너의 백성의 염원이 널 살리는구나,,
빌다,Verb,10,염원을 담아 간절히 빌어,,
제발,Adverb,10,제발 살려 주세요,,
그냥,Adverb,8,정확한 건 모르겠어요 그냥 교통사고 나 가지고 그런 건지,,
죄인,Noun,7,대역죄인 김신은,,
소원,Noun,7,나도 촛불 불고 소원 빌고 싶어요,,
들리다,Verb,7,아저씨 목소리 하나도 안 들리는데?,,
알바,Noun,7,알바 좀 꼭 구하게 해 주시고요 이모네 식구 좀 어떻게 해 주시고,,
자꾸,Adverb,6,왜 자꾸 우리 할아버지한테 반말해?,,
이모,Noun,6,가면 이모도 곧 도착할 거고,,
수호신,Noun,6,"걔, 지니처럼? 뭐, 수호신 그런 거?",,
김신,Noun,5,김신 장군 만세!,,
멈추다,Verb,5,"그러니 더는 오지 마라, 멈추어라",,
언제,Adverb,5,하늘이 언제 네놈들 편을 들겠다더냐?,,
멧돼지,Noun,5,멧돼지,,
강아지,Noun,5,어? 강아지다,,
혹시,Adverb,5,너 혹시 올해 아홉 살 됐니?,,
백성,Noun,4,백성들은 그를,,
미치다,Verb,4,,,
돌아오다,Verb,4,그 생지옥에서 살아 돌아오는 길이란 말이다,,
어찌,Adverb,4,"폐하, 어찌 이러십니까?",,
저승사자,Noun,4,저승사자?,,
아무래도,Adverb,4,떡에다가 소원 비니까 아무래도 안 듣는 것 같아요,,
되게,Adverb,4,저 그냥 이 사람 저 사람 말 되게 잘 배워요,,
축하,Noun,4,"생일 축하한다, 우리 강아지",,
목도리,Noun,4,"밤에는 추워, 목도리 하고",,
미안,Noun,4,"미안해, 엄마",,
통장,Noun,4,학교 끝나고 통장 갖고 은행으로 와,,
식구,Noun,4,알바 좀 꼭 구하게 해 주시고요 이모네 식구 좀 어떻게 해 주시고,,
소문,Noun,4,소문은 익히 들어서,,
캐나다,Noun,4,캐나다,,
염원,Noun,3,사람의 손때나 피가 묻은 물건에 염원이 깃들면,,
오직,Adverb,3,오직 도깨비 신부만이,,
도망가다,Verb,3,너 지금 어디 도망가?,,
새끼,Noun,3,너 버리고 도망간 그 새끼가 못됐지,,
그만,Adverb,3,"아휴, 그만 갈게요, 많이 파세요",,
생사,Noun,3,생사를 오가는 순간이 오면,,
상장군,Noun,3,상장군 만세!,,
어명,Noun,3,김신은 군장을 풀고 어명을 받들라,,
받들다,Verb,3,김신은 군장을 풀고 어명을 받들라,,
대역,Noun,3,대역죄인 김신은,,
폐하,Noun,3,"폐하를 뵙겠다, 길을 터라",,
칼날,Noun,3,그는 적의 칼날은 정확하게 보았지만,,
정확,Noun,3,그는 적의 칼날은 정확하게 보았지만,,
이러다,Verb,3,"폐하, 어찌 이러십니까?",,
부탁,Noun,3,자네에게 부탁하고 싶은데,,
가치,Noun,3,딱 그 정도가 저자의 가치다,,
사거리,Noun,3,"여보세요, 네, 거기 112죠? 여기 역삼 사거리인데요",,
늙다,Verb,3,전 많이 늙었지요,,
그래도,Adverb,3,"어허, 이놈이 그래도...",,
드시다,Verb,3,- 죄인 김신은... - 막아서면 반드시 죽을 것이다,,
싫다,Adjective,3,오늘 밤은 누가 죽는 걸 보는 게 싫어서 말이다,,
지연,Noun,3,"""지연희, 27세""",,
파티,Noun,3,"엄마, 나 이제 잔치 말고 파티하면 안 돼요?",,
케이크,Noun,3,떡이 케이크로 달라지죠,,
켜다,Verb,3,무슨 개소리야? 비켜,,
마주치다,Verb,3,"앞으로는 절대 영혼들이랑 눈 마주치지 말고, 알았지?",,
알리다,Verb,3,,,
다행,Noun,3,지금이라도 하게 됐으니 다행이죠,,
명부,Noun,3,이 아이가 명부에 있어?,,
감사,Noun,3,"생일 축하 감사합니다, 이모",,
심하다,Adjective,3,그건 좀 너무 말이 심하시고요,,
붙다,Verb,3,저 집안의 그 누구의 숨도 붙여 두지 말라,,
때문,Noun,3,검 때문에 고통을 받으실 때는,,
거지,Noun,3,거지 같은 상황에서 저 좀 어떻게...,,
어치,Noun,3,10원어치라도 제발,,
실수,Noun,3,지난번에 거리에서 실수로 눈 마주쳐 가지고,,
베풀다,Verb,3,우리에게 은총을 베풀어 주시는 하나님께 감사드립니다,,
긍정,Noun,3,성격이 굉장히 밝고 긍정적이어서,,
