Korean,Romanization,English,Part of Speech
"것","geot","thing / object","Noun"
"하다","hada","to do","Verb"
"있다","itda","to be / to have","Adjective"
"수","su","ability / way","Noun"
"나","na","I / me (informal)","Pronoun"
"없다","eopda","to not be / to not have","Adjective"
"않다","anta","to not do","Verb"
"사람","saram","person","Noun"
"우리","uri","we / us / our","Pronoun"
"그","geu","he / that","Pronoun"
"아니다","anida","to not be","Adjective"
"보다","boda","to see / to watch","Verb"
"거","geo","thing (short for 것)","Noun"
"같다","gatda","to be the same / like","Adjective"
"주다","juda","to give","Verb"
"대하다","daehada","to face / to treat","Verb"
"가다","gada","to go","Verb"
"년","nyeon","year","Noun"
"한","han","one / a single","Determiner"
"말","mal","word / speech / horse","Noun"
"일","il","work / day / one","Noun"
"이","i","this / person / two","Determiner"
"말하다","malhada","to speak","Verb"
"위하다","wihada","to do for / for the sake of","Verb"
"그러나","geureona","but / however","Conjunction"
"오다","oda","to come","Verb"
"알다","alda","to know","Verb"
"씨","ssi","Mr. / Ms. / Seed","Noun"
"그렇다","geureota","to be so / that is right","Adjective"
"크다","keuda","to be big","Adjective"
"일","il","day","Noun"
"사회","sahoe","society","Noun"
"많다","manta","to be many","Adjective"
"안","an","not / inside","Adverb"
"좋다","jota","to be good","Adjective"
"더","deo","more","Adverb"
"받다","batda","to receive","Verb"
"그것","geugeot","that thing","Pronoun"
"집","jip","house / home","Noun"
"나오다","naoda","to come out","Verb"
"그리고","geurigo","and","Conjunction"
"문제","munje","problem / question","Noun"
"그런","geureon","such","Determiner"
"살다","salda","to live","Verb"
"저","jeo","I (formal) / that (over there)","Pronoun"
"못하다","mothada","to be unable to do / to be poor at","Verb"
"생각하다","saenggakhada","to think","Verb"
"모르다","moreuda","to not know","Verb"
"속","sok","inside","Noun"
"만들다","mandeulda","to make","Verb"
"데","de","place / point","Noun"
"두","du","two","Number"
"앞","ap","front","Noun"
"경우","gyeongu","case / scenario","Noun"
"중","jung","middle / center","Noun"
"어떤","eotteon","which / what kind of","Determiner"
"잘","jal","well","Adverb"
"그녀","geunyeo","she","Pronoun"
